Pt1,Pt2,Pt3,F1,F2,F3,Error
1,25,0,[1.9161355256399983],[2.7547802692400154],[1.9161355256399983],36670120.722218536
1,47,0,[2.0],[2.0],[2.0],169222979.04579175
1,4,0,[2.0],[2.0],[2.0],348638328.57079375
1,5,0,[2.0],[2.0],[2.0],341947011.1703187
1,3,0,[2.0],[2.0],[2.0],390429322.7030778
1,45,0,[2.0],[2.0],[2.0],175502417.01615092
1,27,0,[2.0],[2.0],[2.0],42385618.15218428
1,49,0,[2.0],[2.0],[2.0],166132882.75706327
1,2,0,[2.0],[2.0],[2.0],383841522.2468347
1,6,0,[2.0],[2.0],[2.0],335786262.14079523
1,28,0,[2.0],[2.0],[2.0],35376995.37972085
1,14,0,[2.0],[2.0],[2.0],344121421.35022175
1,7,0,[2.0],[2.0],[2.0],335387494.2292855
1,46,0,[2.0],[2.0],[2.0],182976443.27692705
1,15,0,[2.0],[2.0],[2.0],96704978.47360645
1,23,0,[2.0],[2.0],[2.0],142089695.17570865
1,24,0,[2.0],[2.0],[2.0],141655705.23095655
1,22,0,[2.0],[2.0],[2.0],111567025.61300638
1,9,0,[2.0],[2.0],[2.0],352455117.0860234
1,8,0,[1.8],[1.8],[1.8],162029839.91065168
1,19,0,[1.838092527815484],[2.7488311542846806],[1.838092527815484],17002673.53073339
1,48,0,[2.0],[2.0],[2.0],110518211.60472207
1,10,0,[1.6999252251603887e-08],[1.2232217118201973e-05],[1.3302885193153469e-08],999.9979474507672
1,30,0,[2.0],[2.0],[2.0],30740485.76357833
1,32,0,[0.14095204568938577],[0.15022473453489046],[2.618858861990814e-09],989.2918751538953
1,26,0,[1.9233273252057475],[2.6900540731482723],[1.9233273252057475],27305971.638268854
1,11,0,[2.0],[2.0],[2.0],338889044.329637
1,18,0,[2.0],[2.0],[2.0],67621953.40303782
1,13,0,[2.0],[2.0],[2.0],367266668.51582175
1,17,0,[1.9185420840772085],[2.7331212433051233],[1.9185420840772085],12508636.563972073
1,21,0,[1.8258288796727111],[2.591094871642833],[1.8258288796727111],6224763.8513965225
1,20,0,[1.830185805865872],[2.5734384066460887],[1.830185805865872],4700804.644063049
1,16,0,[2.0],[2.0],[2.0],37537276.30596371
1,31,0,[2.0],[2.0],[2.0],27889856.05632891
