Pt1,Pt2,Pt3,F1,F2,F3,Error
5,17,0,[1.885930091779632],[1.885930091779632],[1.885930091779632],8963307.128810562
5,25,0,[2.0],[2.0],[2.0],186820582.88127416
5,20,0,[2.0],[2.0],[2.0],39590035.927410066
5,2,0,[2.0],[2.0],[2.0],172813765.42551184
5,1,0,[2.0],[2.0],[2.0],168835620.47663748
5,24,0,[2.0],[2.0],[2.0],183124604.54903442
5,18,0,[1.8762743487071438],[1.8762743487071438],[1.8762743487071438],9532302.656429311
5,26,0,[2.0],[2.0],[2.0],181945005.93914852
5,19,0,[2.0],[2.0],[2.0],39545991.873643845
5,49,0,[2.0],[2.0],[2.0],39600276.0593181
5,48,0,[2.0],[2.0],[2.0],39675526.369408056
5,22,0,[2.0],[2.0],[2.0],183730477.37822035
5,15,0,[2.0],[2.0],[2.0],39779379.65027943
5,47,0,[2.0],[2.0],[2.0],39706761.12471402
5,3,0,[2.0],[2.0],[2.0],169237027.40405062
5,16,0,[2.0],[2.0],[2.0],39947104.997215495
5,32,0,[2.0],[2.0],[2.0],76235544.66587365
5,29,0,[2.0],[2.0],[2.0],78099601.68606977
5,23,0,[0.0],[0.0],[0.0],1000.0
5,21,0,[2.0],[2.0],[2.0],180880356.17014205
5,14,0,[1.887077489623018],[1.887077489623018],[1.887077489623018],12336056.362722281
5,42,0,[1.8],[1.8],[1.8],67975655.02344815
5,4,0,[2.0],[2.0],[2.0],165043307.84937623
5,28,0,[2.0],[2.0],[2.0],84346864.94438702
5,41,0,[2.0],[2.0],[2.0],175934274.60364437
5,27,0,[2.0],[2.0],[2.0],83171014.81087166
5,37,0,[1.62],[1.62],[1.62],11385131.63691362
5,35,0,[2.0],[2.0],[2.0],162119092.10195616
5,36,0,[1.6199599496249517],[1.6199599496249517],[1.6199599496249517],11934458.663997361
5,13,0,[2.0],[2.0],[2.0],40656488.510307066
5,46,0,[2.0],[2.0],[2.0],39804587.87338401
5,45,0,[0.0],[0.0],[0.0],1883832.3659379529
5,33,0,[2.0],[2.0],[2.0],177888095.32770798
5,44,0,[1.8661792831300592],[1.8661792831300592],[1.8661792831300592],11513898.727693383
5,30,0,[2.0],[2.0],[2.0],79126784.84851307
5,11,0,[2.0],[2.0],[2.0],79192791.39228329
5,34,0,[2.0],[2.0],[2.0],183783325.65461525
5,10,0,[2.0],[2.0],[2.0],74584075.6914107
5,9,0,[2.0],[2.0],[2.0],79873392.05475105
5,31,0,[2.0],[2.0],[2.0],78478738.43372287
5,7,0,[2.0],[2.0],[2.0],79464890.34188394
5,8,0,[2.0],[2.0],[2.0],83867014.03978048
5,38,0,[2.0],[2.0],[2.0],178352235.70581153
