Pt1,Pt2,Pt3,F1,F2,F3,Error
5,43,0,[2.0],[2.0],[2.0],140447159.69814724
5,44,0,[1.8],[1.8],[1.8],8301484.635529015
5,8,0,[2.0],[2.0],[2.0],157621348.8321766
5,45,0,[2.0],[2.0],[2.0],77993285.81406425
5,3,0,[0.0],[0.0],[0.0],1000.0
5,39,0,[2.0],[2.0],[2.0],152946194.42210633
5,1,0,[2.0],[2.0],[2.0],160194399.5242812
5,47,0,[1.8],[1.8],[1.8],9331315.115751166
5,46,0,[1.8],[1.8],[1.8],10272478.236307384
5,9,0,[2.0],[2.0],[2.0],168891890.75623968
5,10,0,[2.0],[2.0],[2.0],171351852.926904
5,2,0,[2.0],[2.0],[2.0],153732101.28410137
5,49,0,[1.7999857771168475],[1.7999857771168475],[1.7999857771168475],11646805.29212971
5,7,0,[2.0],[2.0],[2.0],181543209.12380323
5,40,0,[2.0],[2.0],[2.0],161445270.51505765
5,30,0,[2.0],[2.0],[2.0],167621736.2394519
5,18,0,[1.8],[3.8],[1.8],21464059.29498461
5,21,0,[2.0],[2.0],[2.0],28572973.013507843
5,6,0,[2.0],[2.0],[2.0],187043798.5740593
5,20,0,[1.8],[3.8],[1.8],24019217.672193587
5,22,0,[1.7294618342841332],[3.6510860945998367],[1.7294618342841332],17944069.918656535
5,4,0,[2.0],[2.0],[2.0],175173300.998418
5,28,0,[2.0],[2.0],[2.0],170600178.69866404
5,48,0,[2.0],[2.0],[2.0],83693597.81790398
5,17,0,[2.0],[2.0],[2.0],28152485.35440321
5,12,0,[2.0],[2.0],[2.0],29462622.058032505
5,33,0,[2.0],[2.0],[2.0],170520254.01239747
5,32,0,[2.0],[2.0],[2.0],174189861.58551168
5,16,0,[2.0],[2.0],[2.0],28786753.128742382
5,31,0,[2.0],[2.0],[2.0],174184291.56287628
5,11,0,[1.7295763675880387],[3.6513278871303037],[1.7295763675880387],16908708.642041046
5,41,0,[2.0],[2.0],[2.0],167602480.2457145
5,19,0,[1.6749562894939172],[4.342482236622828],[1.6749562894939172],16922673.703047648
5,25,0,[1.6589233049362204],[4.2962797871792775],[1.6589233049362204],16708655.89411838
5,27,0,[2.0],[2.0],[2.0],28136714.49492166
5,13,0,[1.8],[3.8],[1.8],21670021.185159024
5,37,0,[2.0],[2.0],[2.0],164426607.74705064
5,36,0,[2.0],[2.0],[2.0],175726321.20816118
5,34,0,[2.0],[2.0],[2.0],182902477.06278342
5,29,0,[2.0],[2.0],[2.0],179064470.7692966
5,15,0,[2.0],[2.0],[2.0],28279334.204134848
5,14,0,[2.0],[2.0],[2.0],27999395.499489605
5,24,0,[2.0],[2.0],[2.0],28021783.975570768
5,23,0,[1.6496535368527492],[4.121320125103649],[1.6496535368527492],16206058.573181763
5,35,0,[2.0],[2.0],[2.0],183878638.89512506
5,42,0,[2.0],[2.0],[2.0],183199842.59076887
5,26,0,[1.8313626722661738],[2.8888721807560778],[1.8313626722661738],21286962.007849015
5,38,0,[2.0],[2.0],[2.0],182845276.34346217
43,44,0,[2.0],[2.0],[2.0],84927233.18868911
43,8,0,[2.0],[2.0],[2.0],155476127.3398298
43,45,0,[1.7999967573095048],[1.7999967573095048],[1.7999967573095048],12861369.039262125
43,3,0,[1.0988574370530284],[1.0988574370530284],[1.0988574370530284],8662585.65977956
43,39,0,[2.0],[2.0],[2.0],160616118.09465823
43,1,0,[2.0],[2.0],[2.0],158001419.3445366
43,47,0,[2.0],[2.0],[2.0],85861012.73220132
43,46,0,[2.0],[2.0],[2.0],91296737.32456087
43,9,0,[2.0],[2.0],[2.0],166538399.61925238
43,10,0,[2.0],[2.0],[2.0],168953217.4938891
43,2,0,[2.0],[2.0],[2.0],151659310.46901566
43,49,0,[2.0],[2.0],[2.0],94602393.31105101
43,7,0,[2.0],[2.0],[2.0],178958704.56501925
43,40,0,[2.0],[2.0],[2.0],170016414.1120306
43,30,0,[2.0],[2.0],[2.0],175811755.1378035
43,18,0,[2.0],[2.0],[2.0],23395418.514296703
43,21,0,[1.8],[3.8],[1.8],3642723.809935475
43,6,0,[2.0],[2.0],[2.0],184359731.65755457
43,20,0,[1.7997763201690333],[3.7995277870235142],[1.7997763201690333],3789931.864186071
43,22,0,[2.0],[2.0],[2.0],21968299.572360948
43,4,0,[2.0],[2.0],[2.0],172704753.39455748
43,28,0,[2.0],[2.0],[2.0],177309463.26123643
43,48,0,[2.0],[2.0],[2.0],95376775.12304012
43,17,0,[2.0],[2.0],[2.0],20915873.618426237
43,12,0,[2.0],[2.0],[2.0],23594579.287377983
43,33,0,[2.0],[2.0],[2.0],179270249.44110432
43,32,0,[2.0],[2.0],[2.0],181465326.34497637
43,16,0,[2.0],[2.0],[2.0],22311502.820045505
43,31,0,[2.0],[2.0],[2.0],183162003.49976435
43,11,0,[2.0],[2.0],[2.0],22205452.4107368
43,41,0,[2.0],[2.0],[2.0],177186742.50183758
43,19,0,[0.0037098619362022278],[0.004522614421282354],[0.0],999.7860500088633
43,25,0,[2.0],[2.0],[2.0],21690641.329451166
43,27,0,[2.0],[2.0],[2.0],20876549.68248476
43,13,0,[2.0],[2.0],[2.0],22983016.175151575
43,37,0,[0.0],[0.0],[0.0],1000.0
43,36,0,[2.0],[2.0],[2.0],185506005.96320486
43,34,0,[2.0],[2.0],[2.0],191935959.97238138
43,29,0,[2.0],[2.0],[2.0],188611536.68263
43,15,0,[2.0],[2.0],[2.0],21220934.110565722
43,14,0,[2.0],[2.0],[2.0],20517086.52901346
43,24,0,[2.0],[2.0],[2.0],20578093.75376681
43,23,0,[1.8],[3.8],[1.8],4420445.226565881
43,35,0,[2.0],[2.0],[2.0],193702016.05582455
43,42,0,[2.0],[2.0],[2.0],193119591.98081136
43,26,0,[1.982],[3.762],[1.782],4542962.143110314
43,38,0,[2.0],[2.0],[2.0],192967135.23506755
44,8,0,[2.0],[2.0],[2.0],85116113.8477328
44,45,0,[2.0],[2.0],[2.0],50229193.46704079
44,3,0,[2.0],[2.0],[2.0],79232894.14020163
44,39,0,[2.0],[2.0],[2.0],94268855.05258226
44,1,0,[1.799986124362184],[1.799986124362184],[1.799986124362184],10591145.493464112
44,47,0,[2.0],[2.0],[2.0],48385755.76471129
44,46,0,[2.0],[2.0],[2.0],52563453.19284703
44,9,0,[1.7999855153178064],[1.7999855153178064],[1.7999855153178064],11786374.670403028
44,10,0,[1.7999928934920337],[1.7999928934920337],[1.7999928934920337],12134895.307830714
44,2,0,[2.0],[2.0],[2.0],82615886.36522718
44,49,0,[1.9237663725656735],[1.9237663725656735],[1.9237663725656735],18374734.92442469
44,7,0,[2.0],[2.0],[2.0],100691898.34400737
44,40,0,[2.0],[2.0],[2.0],101183986.97713427
44,30,0,[2.0],[2.0],[2.0],104824319.25790918
44,18,0,[2.0],[2.0],[2.0],5832166.120214281
44,21,0,[2.0],[2.0],[2.0],5102671.034877475
44,6,0,[2.0],[2.0],[2.0],104317797.74853864
44,20,0,[2.0],[2.0],[2.0],4904833.234581832
44,22,0,[0.0011229070819692405],[0.003124819951831014],[0.0004049815420698687],999.7709268971948
44,4,0,[2.0],[2.0],[2.0],96512870.93891904
44,28,0,[2.0],[2.0],[2.0],104844108.12815668
44,48,0,[1.923347253736494],[1.923347253736494],[1.923347253736494],18979283.15012926
44,17,0,[14.872058616630467],[12.845047632624338],[8.30249323030689],458.67354487961194
44,12,0,[2.0],[2.0],[2.0],5930721.503521747
44,33,0,[2.0],[2.0],[2.0],107549787.8046608
44,32,0,[2.0],[2.0],[2.0],108035442.80058527
44,16,0,[2.0],[2.0],[2.0],5308550.705780647
44,31,0,[1.8],[1.8],[1.8],18571715.562330488
44,11,0,[2.0],[2.0],[2.0],5258572.10811015
44,41,0,[1.8],[1.8],[1.8],20803826.888006236
44,19,0,[2.0],[2.0],[2.0],4241165.506787584
44,25,0,[2.0],[2.0],[2.0],5019482.599630888
44,27,0,[2.0],[2.0],[2.0],4654707.881253767
44,13,0,[0.0036648667264792055],[0.006770156312662406],[0.0007934878022373507],999.5117626577121
44,37,0,[1.5873297584298556],[1.5873297584298556],[1.5873297604298555],11933775.56199967
44,36,0,[2.0],[2.0],[2.0],112504586.2507674
44,34,0,[2.0],[2.0],[2.0],116362477.32096325
44,29,0,[1.8],[1.8],[1.8],20753682.894878805
44,15,0,[2.0],[2.0],[2.0],4806866.036861862
44,14,0,[1.9396022168343023],[2.543580048491279],[1.9396022168343023],1042029.7144275977
44,24,0,[2.0],[2.0],[2.0],4525671.371433554
44,23,0,[12.855210844529775],[10.615141294483164],[6.574303541274018],517.236640136447
44,35,0,[2.0],[2.0],[2.0],118123341.15355031
44,42,0,[2.0],[2.0],[2.0],117793499.24537341
44,26,0,[2.0],[2.0],[2.0],4381637.417617487
44,38,0,[2.0],[2.0],[2.0],117833271.23866065
8,45,0,[2.0],[2.0],[2.0],87976098.24777786
8,3,0,[2.0],[2.0],[2.0],164191320.80716744
8,39,0,[1.2138688010702996],[1.2138688010702996],[1.2138688010702996],11370591.910810962
8,1,0,[2.0],[2.0],[2.0],176746827.10990033
8,47,0,[2.0],[2.0],[2.0],85915577.70732883
8,46,0,[2.0],[2.0],[2.0],90575672.91927262
8,9,0,[2.0],[2.0],[2.0],186028454.83361262
8,10,0,[2.0],[2.0],[2.0],188651768.31025288
8,2,0,[2.0],[2.0],[2.0],169843530.0305807
8,49,0,[2.0],[2.0],[2.0],93414552.28384449
8,7,0,[2.0],[2.0],[2.0],199511595.04228675
8,40,0,[2.0],[2.0],[2.0],177865332.14604297
8,30,0,[2.0],[2.0],[2.0],184472092.10224512
8,18,0,[1.748473156370732],[3.691221107893768],[1.748473156370732],21720098.325080507
8,21,0,[1.610802407994525],[4.337292749781679],[1.610802407994525],16793279.733333945
8,6,0,[2.0],[2.0],[2.0],205367686.3224128
8,20,0,[1.7213671310698349],[3.633997276702985],[1.7213671310698349],20665771.254808098
8,22,0,[1.7356272281550056],[3.6641019261050114],[1.7356272281550056],21010371.592788447
8,4,0,[2.0],[2.0],[2.0],192725409.8033109
8,28,0,[2.0],[2.0],[2.0],187700876.28944567
8,48,0,[2.0],[2.0],[2.0],94080094.54373296
8,17,0,[2.0],[2.0],[2.0],33040973.235566474
8,12,0,[0.00011340894884684327],[0.0017041549568733371],[2.6230925198372464e-09],999.9375098722004
8,33,0,[2.0],[2.0],[2.0],187542118.43785688
8,32,0,[2.0],[2.0],[2.0],191508938.64270955
8,16,0,[2.0],[2.0],[2.0],33851709.65791755
8,31,0,[2.0],[2.0],[2.0],191439807.13658053
