Pt1,Pt2,Pt3,F1,F2,F3,Error
2,43,0,[2.0],[2.0],[2.0],14500032.128440462
2,4,0,[2.0],[2.0],[2.0],361945117.8129762
2,3,0,[2.0],[2.0],[2.0],399278258.04118073
2,23,0,[1.8977379853979583],[2.9203581314183746],[1.8977379853979583],38946530.549476996
2,1,0,[2.0],[2.0],[2.0],344980077.09689325
2,44,0,[2.0],[2.0],[2.0],19819828.65611883
2,21,0,[2.0],[2.0],[2.0],75852046.15956885
2,49,0,[5.501986659787784e-11],[14.285010044558911],[14.25574881536522],5.844535601921767
2,5,0,[2.0],[2.0],[2.0],329824200.72581595
2,22,0,[2.0],[2.0],[2.0],75956987.43516085
2,7,0,[2.0],[2.0],[2.0],398932899.7804696
2,6,0,[2.0],[2.0],[2.0],336216966.7951654
2,46,0,[0.0],[14.279575298647098],[14.140348818812777],27.656020317455166
2,33,0,[2.0],[2.0],[2.0],75750994.6249671
2,42,0,[2.0],[2.0],[2.0],21624539.325419467
2,47,0,[2.0],[2.0],[2.0],19577106.87517279
2,25,0,[2.0],[2.0],[2.0],408289166.0110185
2,45,0,[1.858991955957922],[3.269072396378702],[1.858991955957922],1055945.5030601115
2,27,0,[2.0],[2.0],[2.0],384568901.71405005
2,26,0,[1.0844052396103823],[1.0844052396103823],[1.0844052396103823],59786719.3827156
2,17,0,[1.8],[3.8],[1.8],48069568.80244887
2,35,0,[2.0],[2.0],[2.0],75915437.59164493
2,24,0,[2.0],[2.0],[2.0],76231371.7320529
2,36,0,[2.0],[2.0],[2.0],75856593.16626695
2,39,0,[2.0],[2.0],[2.0],75866539.11034188
2,30,0,[2.0],[2.0],[2.0],345687232.3621783
2,37,0,[2.0],[2.0],[2.0],76029592.7312991
2,20,0,[2.445443379346676e-12],[4.091866342051873e-12],[2.445530463471382e-12],999.9999999998045
2,34,0,[2.0],[2.0],[2.0],76138744.42989866
2,48,0,[2.0],[2.0],[2.0],14953240.139360618
2,19,0,[2.0],[2.0],[2.0],76799360.7414439
2,40,0,[2.0],[2.0],[2.0],76085777.79291959
2,13,0,[19.94423347572527],[20.0],[0.0],983.1506034077563
2,12,0,[2.0],[2.0],[2.0],17829018.17868175
2,31,0,[1.1270324334344506],[1.1270324334344506],[1.1270324334344506],54825952.41034705
2,15,0,[1.90625934389116],[2.8436659049795616],[1.90625934389116],1175243.1601044973
2,32,0,[2.0],[2.0],[2.0],326360278.1453434
2,8,0,[0.00026561626982645825],[0.00041735406272498915],[0.0001753904630929015],999.9711349783408
2,28,0,[2.0],[2.0],[2.0],403889631.8192399
2,38,0,[2.0],[2.0],[2.0],76011999.28229807
2,11,0,[2.0],[2.0],[2.0],20925343.69158212
2,41,0,[2.0],[2.0],[2.0],76443902.08594196
2,14,0,[2.0],[2.0],[2.0],19431127.292521328
2,18,0,[2.0],[2.0],[2.0],76995813.57058881
2,10,0,[2.0],[2.0],[2.0],22252736.71006345
2,16,0,[1.8711471861039712],[3.1596753250642577],[1.8711471861039712],220280.91547572863
2,9,0,[2.0],[2.0],[2.0],21970306.694478594
2,29,0,[2.0],[2.0],[2.0],335321953.6815723
43,4,0,[2.0],[2.0],[2.0],10387967.29858375
43,3,0,[2.0],[2.0],[2.0],14150936.49741474
43,23,0,[14.245465620881962],[3.3257337541071493e-18],[14.61892958224911],76.13542457751419
43,1,0,[2.6728190642718443],[1.9252423261920173],[1.9252423261920173],1022292.4211191956
43,44,0,[1.8881403760145525],[1.8881403760145525],[3.006736615869027],321789.4511412546
43,21,0,[2.0],[2.0],[2.0],12968829.344971616
43,49,0,[2.0],[2.0],[2.0],14606100.930069538
43,5,0,[2.5946176569262347],[1.9339313714526405],[1.9339313714526405],927947.3086652292
43,22,0,[2.0],[2.0],[2.0],12099549.347056933
43,7,0,[14.285374259101227],[9.725510259943652],[4.559981798337786],0.06392501754585622
43,6,0,[2.0],[2.0],[2.0],8109917.962752412
43,46,0,[2.0],[2.0],[2.0],14279521.15215054
43,33,0,[2.0],[2.0],[2.0],14964625.01214912
43,42,0,[2.0],[2.0],[2.0],10137750.328827072
43,47,0,[2.0],[2.0],[2.0],11468666.608996483
43,25,0,[2.0],[2.0],[2.0],15137231.164951343
43,45,0,[1.9205178191732624],[1.9205178191732624],[2.7153396274406383],1145638.8834772222
43,27,0,[2.0],[2.0],[2.0],12605322.900469616
43,26,0,[2.9910209474052074],[1.8898865613994213],[1.8898865613994213],530058.5163507205
43,17,0,[2.0],[2.0],[2.0],10227794.215667406
43,35,0,[14.21756655250331],[0.12343171604546524],[14.590299392821143],76.0798918387332
43,24,0,[1.9128201978088408],[1.9128201978088408],[2.784618219720431],932233.2169295591
43,36,0,[2.0],[2.0],[2.0],12922663.54277904
43,39,0,[2.0],[2.0],[2.0],12825365.998520235
43,30,0,[2.0],[2.0],[2.0],8917678.25559282
43,37,0,[2.0],[2.0],[2.0],11643102.037335519
43,20,0,[2.0],[2.0],[2.0],9279938.215269946
43,34,0,[2.0],[2.0],[2.0],11074509.09319139
43,48,0,[2.0],[2.0],[2.0],15375964.112675447
43,19,0,[2.0],[2.0],[2.0],8875663.05449051
43,40,0,[13.530354623134816],[0.6055868713660347],[13.885069460657752],74.3273815999794
43,13,0,[14.245038227139432],[3.778243212211133e-13],[14.618491723930404],76.1354495701416
43,12,0,[1.9097609469325902],[1.9097609469325902],[2.8121514776066876],1541406.4490407365
43,31,0,[2.0],[2.0],[2.0],9023053.195047824
43,15,0,[2.0],[2.0],[2.0],16580632.82360707
43,32,0,[2.0],[2.0],[2.0],7307965.514590195
43,8,0,[2.0],[2.0],[2.0],11189847.57230921
43,28,0,[14.290056440556965],[7.31136485916651],[6.97877756371424],0.06560313169148463
43,38,0,[2.310856214392134],[1.9203033140539976],[2.326717273175885],879992.9235503258
43,11,0,[2.0],[2.0],[2.0],10570260.108660247
43,41,0,[13.774533049612177],[0.37628139777476305],[14.135649975838794],74.9673716014007
43,14,0,[1.9131157368530973],[1.9131157368530973],[2.7819583683221234],1403492.6481460538
43,18,0,[2.1016635734104288],[1.901663573410429],[2.6850278393061395],197119.7089464742
43,10,0,[1.9189055359142606],[1.9189055359142606],[2.729850176771655],1197273.84842218
43,16,0,[2.0],[2.0],[2.0],16858349.100908834
43,9,0,[2.0],[2.0],[2.0],9931647.838573335
43,29,0,[2.7463458015898734],[1.9170726887122362],[1.9170726887122362],418341.003302269
4,3,0,[2.0],[2.0],[2.0],358945045.4878466
4,23,0,[2.0],[2.0],[2.0],64429600.51723383
4,1,0,[0.7888819220115583],[0.7888819220115583],[0.7888819220115583],98046195.11609131
4,44,0,[1.9085645210520275],[2.822919310531754],[1.9085645210520275],1870137.7855383547
4,21,0,[2.0],[2.0],[2.0],64425769.94696397
4,49,0,[1.8978930345469367],[2.918962689077569],[1.8978930345469367],443536.320314434
4,5,0,[2.0],[2.0],[2.0],294398683.2535709
4,22,0,[2.0],[2.0],[2.0],64442061.5988439
4,7,0,[2.0],[2.0],[2.0],358623362.32123166
4,6,0,[2.0],[2.0],[2.0],300326464.16769916
4,46,0,[2.0],[2.0],[2.0],11660446.201186165
4,33,0,[1.9454167766892374],[2.294742264676739],[1.9454167766892374],61151371.62097739
4,42,0,[2.0],[2.0],[2.0],16182382.941428808
4,47,0,[13.929259285009564],[14.25476494126935],[0.0],64.07135551269918
4,25,0,[2.0],[2.0],[2.0],367340582.187387
4,45,0,[12.570263168480274],[13.81603338678555],[8.11810477990584e-09],234.75541025880705
4,27,0,[2.0],[2.0],[2.0],345250087.48368376
4,26,0,[2.0],[2.0],[2.0],366573821.0595346
4,17,0,[2.0],[2.0],[2.0],64614944.45691951
4,35,0,[2.0],[2.0],[2.0],64432278.54907414
4,24,0,[2.0],[2.0],[2.0],64555383.91877592
4,36,0,[2.0],[2.0],[2.0],64425759.52547454
4,39,0,[2.0],[2.0],[2.0],64426047.03520688
4,30,0,[2.0],[2.0],[2.0],309113176.6389776
4,37,0,[2.0],[2.0],[2.0],64465559.3250043
4,20,0,[2.0],[2.0],[2.0],64792027.67640969
4,34,0,[2.0],[2.0],[2.0],64510818.12680928
4,48,0,[0.0],[14.270983901327497],[14.494516899291215],45.21872238437342
4,19,0,[1.805359926192558],[2.834355770831632],[1.805359926192558],2746061.260589076
4,40,0,[2.0],[2.0],[2.0],64487670.84224871
4,13,0,[2.0],[2.0],[2.0],9774230.562595423
4,12,0,[2.0],[2.0],[2.0],13074549.982877927
4,31,0,[2.0],[2.0],[2.0],310231692.5920209
4,15,0,[2.0],[2.0],[2.0],9852661.078185208
4,32,0,[2.0],[2.0],[2.0],291187943.32669765
4,8,0,[1.9004060547578743],[2.896345507179131],[1.9004060547578743],1513489.3132170949
4,28,0,[2.0],[2.0],[2.0],363240938.4637176
4,38,0,[2.0],[2.0],[2.0],64459266.65702906
4,11,0,[2.0],[2.0],[2.0],15606797.180584313
4,41,0,[2.0],[2.0],[2.0],64671159.95313221
4,14,0,[1.8675504610658895],[3.192045850406995],[1.8675504610658895],457017.25777700724
4,18,0,[1.8128549312131892],[2.8017622517616134],[1.8128549312131892],3303639.2214924856
4,10,0,[1.8943913092809792],[2.950478216471187],[1.8943913092809792],1782726.7040460182
4,16,0,[2.0],[2.0],[2.0],9658855.24951459
4,9,0,[2.0],[2.0],[2.0],16467491.990106605
4,29,0,[2.0],[2.0],[2.0],299496375.65027344
3,23,0,[2.0],[2.0],[2.0],74890658.7101475
3,1,0,[2.0],[2.0],[2.0],342074645.15005344
3,44,0,[2.0],[2.0],[2.0],19389439.540753696
3,21,0,[2.0],[2.0],[2.0],74921995.06670247
3,49,0,[2.0],[2.0],[2.0],15366240.365228806
3,5,0,[2.0],[2.0],[2.0],327004635.06998646
3,22,0,[0.0],[0.0],[0.0],1000.0
3,7,0,[2.0],[2.0],[2.0],395731452.7997477
3,6,0,[2.0],[2.0],[2.0],333361025.82288486
3,46,0,[0.0],[14.279576806758723],[14.14035026522783],27.656019878997483
3,33,0,[2.0],[2.0],[2.0],74835708.98427057
3,42,0,[2.0],[2.0],[2.0],21168288.977743454
3,47,0,[1.8970499455813443],[2.9265504897679],[1.8970499455813443],2164457.3647393817
3,25,0,[2.0],[2.0],[2.0],405037781.1943044
3,45,0,[2.0],[2.0],[2.0],22575663.627132576
3,27,0,[2.0],[2.0],[2.0],381444886.7964641
3,26,0,[2.0],[2.0],[2.0],404219393.8673768
3,17,0,[2.0],[2.0],[2.0],75389748.6188056
3,35,0,[1.821761369771984],[3.220363588945525],[1.821761369771984],54923298.30941242
3,24,0,[2.0],[2.0],[2.0],75281190.66167599
3,36,0,[2.0],[2.0],[2.0],74926174.38767725
3,39,0,[2.0],[2.0],[2.0],74935341.14173885
3,30,0,[2.0],[2.0],[2.0],342777825.0107237
3,37,0,[2.0],[2.0],[2.0],75088432.50290562
3,20,0,[2.0],[2.0],[2.0],75680468.2046537
3,34,0,[2.0],[2.0],[2.0],75192435.14164707
3,48,0,[2.0],[2.0],[2.0],14596871.055171702
3,19,0,[2.089299994234862],[3.960494185608838],[2.089299994234862],1744245.150744524
3,40,0,[2.0],[2.0],[2.0],75141871.34172027
3,13,0,[2.0],[2.0],[2.0],13395068.297813099
3,12,0,[2.0],[2.0],[2.0],17428083.71546406
3,31,0,[2.0],[2.0],[2.0],343976110.132844
3,15,0,[2.0],[2.0],[2.0],13491832.985700142
3,32,0,[2.0],[2.0],[2.0],323560520.4320097
3,8,0,[2.0],[2.0],[2.0],19548674.585287537
3,28,0,[2.0],[2.0],[2.0],400661680.94993675
3,38,0,[2.0],[2.0],[2.0],75071749.99951234
3,11,0,[1.8899485444085131],[3.6755211423200103],[1.9479605111475526],275430.0941648445
3,41,0,[5.05819098114827e-21],[2.8165967419129903e-18],[0.0],1000.0
3,14,0,[1.9006868948820779],[2.8938179460612985],[1.9006868948820779],2132021.6405885015
3,18,0,[2.0],[2.0],[2.0],76021471.05084996
3,10,0,[2.0],[2.0],[2.0],21787654.442350067
3,16,0,[1.632281808793136e-10],[0.0910683058520516],[0.09657461710621949],996.8041896120458
3,9,0,[1.8953329038037567],[2.942003865766189],[1.8953329038037567],2560511.153494718
3,29,0,[0.0],[0.0],[0.0],1000.0
23,1,0,[2.0],[2.0],[2.0],59857456.02182323
23,44,0,[5.564352564230232],[13.959591386330972],[16.914607280048106],204.14786207286744
23,21,0,[1.9004004090469553],[1.9004004090469553],[1.9004004090469553],35905916.366574824
23,49,0,[1.9184704856061219],[1.9184704856061219],[2.7337656295449038],1382593.1611733758
23,5,0,[2.8650568232467313],[1.8298641174155255],[1.8298641174155255],3688916.9481197814
23,22,0,[0.0],[0.0],[0.0],1000.0
23,7,0,[2.0],[2.0],[2.0],74791478.7690569
23,6,0,[2.36253316703604],[1.8804858914562643],[1.8804858914562643],10770048.253082432
23,46,0,[2.0],[2.0],[2.0],12643376.458341269
23,33,0,[2.0],[2.0],[2.0],70534005.66739224
23,42,0,[2.0],[2.0],[2.0],10830876.17647106
