Pt1,Pt2,Pt3,F1,F2,F3,Error
18,16,0,[2.0],[2.0],[2.0],12003270.769929
18,2,0,[0.001036165002082329],[1.0771615641554714e-10],[5.654166351808751e-11],999.9119264353619
18,15,0,[2.0],[2.0],[2.0],13204195.915507771
18,3,0,[2.0],[2.0],[2.0],1837928.1231822132
18,11,0,[2.0],[2.0],[2.0],7380122.150512596
18,1,0,[0.0010358140462289292],[3.886220344617324e-10],[2.086903004571263e-10],999.9119264836315
18,4,0,[2.0],[2.0],[2.0],1818613.8602396925
18,5,0,[0.0010362623145300093],[9.313746115017602e-10],[0.0],999.9119273542864
18,29,0,[2.0],[2.0],[2.0],503290.11620880826
18,46,0,[2.0],[2.0],[2.0],7643451.028956228
18,17,0,[7.925603044230914e-05],[1.9698358283320503e-07],[2.5257469741433523e-17],999.9870298353231
18,10,0,[2.0],[2.0],[2.0],3751900.249682401
18,48,0,[2.0],[2.0],[2.0],4651408.489576411
18,49,0,[2.0],[2.0],[2.0],4747509.321053527
18,26,0,[2.231162069935062],[2.3282521574539743],[1.9312100171471536],294532.1456649791
18,30,0,[2.0],[2.0],[2.0],401089.3044830548
18,8,0,[2.0],[2.0],[2.0],2812696.968087562
18,44,0,[1.6532055724383101e-12],[0.0071594611968889554],[0.0010263594834536002],999.4069914539492
18,27,0,[2.0],[2.0],[2.0],400775.7427651275
18,47,0,[2.0],[2.0],[2.0],3122895.731472952
18,12,0,[2.0],[2.0],[2.0],3276908.4391355603
18,14,0,[2.0],[2.0],[2.0],4715054.647148497
18,43,0,[2.0],[2.0],[2.0],638031.3569212366
18,28,0,[1.8427111356831316],[4.3868685571839325],[1.7347923825351188],343713.9013262981
18,31,0,[1.9163721335660215],[2.752650797905806],[1.9163721335660215],357214.295899597
18,6,0,[2.0],[2.0],[2.0],1456155.971754554
18,36,0,[2.0],[2.0],[2.0],469277.5431127743
18,7,0,[2.0],[2.0],[2.0],2301621.6649841964
18,42,0,[2.0],[2.0],[2.0],761316.7866868249
18,37,0,[0.19135431450899656],[0.5477280813796651],[6.678343487041074e-11],998.3719567532503
18,13,0,[2.0],[2.0],[2.0],5576323.927107875
18,32,0,[2.0],[2.0],[2.0],606942.7235179647
18,34,0,[2.0],[2.0],[2.0],694979.1470051192
18,45,0,[2.0],[2.0],[2.0],3497340.370989991
18,25,0,[0.9618043776138473],[0.9618043776138473],[0.9618043776138473],581896.9781263721
18,24,0,[1.6293269250009654],[1.6293269250009654],[1.6293269250009654],1755946.3385367508
18,9,0,[2.0],[2.0],[2.0],1717076.4256773228
18,20,0,[2.0],[2.0],[2.0],1955475.0966418758
18,21,0,[0.001036235968372996],[4.476000007853402e-09],[6.936247033783966e-07],999.9119323532218
18,33,0,[2.0],[2.0],[2.0],579873.4459674219
18,22,0,[2.0],[2.0],[2.0],1560109.8908379446
18,35,0,[2.0],[2.0],[2.0],610557.6630254256
18,39,0,[0.0016955553330641074],[0.0034048860264416277],[3.29483323783695e-05],999.9074146715752
18,41,0,[2.0],[2.0],[2.0],1150585.4888942929
18,38,0,[0.001036172775876199],[0.0],[0.0],999.9119260906061
18,23,0,[1.8606226012403861],[1.8606226012403861],[1.8606226012403861],1721243.8717888978
18,40,0,[1.3443194495161424],[7.607850100022153],[1.6375943038487086],164893.15454064042
18,19,0,[2.0],[2.0],[2.0],1444406.1545734685
