Pt1,Pt2,Pt3,F1,F2,F3,Error
5,28,0,[2.0],[2.0],[2.0],402311926.96508944
5,21,0,[2.0],[2.0],[2.0],77534868.72897154
5,23,0,[2.0],[2.0],[2.0],77629152.50642748
5,3,0,[2.0],[2.0],[2.0],398590448.75168574
5,24,0,[1.909334181598483],[2.8159923656136536],[1.909334181598483],41016045.917700715
5,22,0,[1.9058827002978216],[2.8470556973196066],[1.9058827002978216],40353975.03260399
5,1,0,[2.0],[2.0],[2.0],376870655.7253242
5,27,0,[2.0],[2.0],[2.0],391745724.2806355
5,2,0,[2.0],[2.0],[2.0],388579674.2321668
5,26,0,[2.0],[2.0],[2.0],361094072.31063133
5,25,0,[2.0],[2.0],[2.0],400952139.70375186
5,7,0,[2.0],[2.0],[2.0],341813608.3741002
5,19,0,[2.0],[2.0],[2.0],77545233.6872526
5,17,0,[2.0],[2.0],[2.0],77756997.75356707
5,4,0,[0.0],[0.0],[0.0],1000.0
5,20,0,[1.8051853412329817],[2.7924316060795777],[1.8051853412329817],4200664.736659292
5,6,0,[2.0],[2.0],[2.0],333576072.2780592
5,32,0,[2.0],[2.0],[2.0],329704211.9614472
5,46,0,[2.0],[2.0],[2.0],15295697.541235438
5,39,0,[2.0],[2.0],[2.0],77635982.41666786
5,45,0,[1.8364831843973997],[3.4716513404234024],[1.8364831843973997],383304.9525984018
5,14,0,[2.0],[2.0],[2.0],15061228.264530042
5,30,0,[2.0],[2.0],[2.0],355506060.77339303
5,18,0,[2.0],[2.0],[2.0],78879439.46358374
5,15,0,[2.0],[2.0],[2.0],13830746.712604921
5,47,0,[1.8404688316038862],[3.428098478877925],[1.8404688316038862],159071.4104816132
5,44,0,[1.904108234145811],[2.863025892687701],[1.904108234145811],3343146.8596529732
5,49,0,[2.0],[2.0],[2.0],15644986.358308015
5,16,0,[4.592843052707129e-08],[20.0],[18.07355441485062],836.9069261483048
5,40,0,[2.0],[2.0],[2.0],77911380.11239691
5,36,0,[2.0],[2.0],[2.0],77532366.88375251
5,9,0,[2.0],[2.0],[2.0],17650696.74472744
5,10,0,[2.0],[2.0],[2.0],17280718.387511056
5,13,0,[2.0],[2.0],[2.0],14310555.56371216
5,31,0,[2.0],[2.0],[2.0],349714694.459391
5,33,0,[2.0],[2.0],[2.0],77975607.33749247
5,42,0,[2.0],[2.0],[2.0],25356815.722035263
5,8,0,[1.8994714268392068],[2.904757158447138],[1.8994714268392068],2924237.1191310273
5,41,0,[2.0],[2.0],[2.0],78416288.90108575
5,48,0,[13.588923007047494],[14.183007007919487],[4.5954276833655414e-11],115.4325317247704
5,29,0,[2.0],[2.0],[2.0],345417929.2200647
5,37,0,[2.0],[2.0],[2.0],77896597.54835983
5,11,0,[2.0],[2.0],[2.0],21973826.046490416
5,34,0,[2.0],[2.0],[2.0],78089799.99884352
5,43,0,[1.806743095468471],[3.5413121407837633],[1.806743095468471],379910.67295768583
5,12,0,[2.0],[2.0],[2.0],25411744.976398233
5,35,0,[2.0],[2.0],[2.0],78523921.22548267
5,38,0,[2.0],[2.0],[2.0],78723726.85589565
28,21,0,[2.0],[2.0],[2.0],78739891.91426146
28,23,0,[2.0],[2.0],[2.0],78851088.55620757
28,3,0,[2.0],[2.0],[2.0],402713162.87581736
28,24,0,[2.0],[2.0],[2.0],78888950.8000316
28,22,0,[2.0],[2.0],[2.0],78918955.26728226
28,1,0,[2.0],[2.0],[2.0],380842439.491391
28,27,0,[2.0],[2.0],[2.0],395821177.86935115
28,2,0,[0.0],[0.0],[0.0],1000.0
28,26,0,[2.0],[2.0],[2.0],364954398.23032063
28,25,0,[2.0],[2.0],[2.0],405091097.4969917
28,7,0,[2.0],[2.0],[2.0],345535487.4753301
28,19,0,[1.8077438314495593],[2.692026255960919],[1.8077438334495592],4706601.616868376
28,17,0,[1.900540842239916],[2.8951324198407575],[1.900540842239916],39279243.051888525
28,4,0,[2.0],[2.0],[2.0],342797480.95886177
28,20,0,[1.8977619399376957],[2.920142540560738],[1.8977619399376957],37522160.44633193
28,6,0,[0.0],[0.0],[0.0],1000.0
28,32,0,[0.0],[0.0],[0.0],1000.0
28,46,0,[2.0],[2.0],[2.0],15767536.529354397
28,39,0,[2.0],[2.0],[2.0],78858645.41640899
