Pt1,Pt2,Pt3,F1,F2,F3,Error
7,17,0,[0.0],[0.0],[0.0],1000.0
7,4,0,[2.0],[2.0],[2.0],76093067.34750094
7,29,0,[1.8954609564376732],[1.8954609564376732],[1.8954609564376732],17321466.433968514
7,33,0,[2.0],[2.0],[2.0],78389221.32539654
7,26,0,[2.0],[2.0],[2.0],85576692.07342511
7,30,0,[2.0],[2.0],[2.0],86383184.10547067
7,16,0,[2.0],[2.0],[2.0],41190929.921614654
7,3,0,[2.0],[2.0],[2.0],93320762.28899187
7,34,0,[1.8909477114307285],[1.8909477114307285],[1.8909477114307285],17120468.200602666
7,36,0,[1.7165810830985346],[2.643454399736993],[1.7165810830985346],9147119.765980016
7,8,0,[0.0],[0.0],[0.0],1000.0
7,32,0,[2.0],[2.0],[2.0],95429807.99561447
7,27,0,[1.8967291462709754],[1.8967291462709754],[1.8967291462709754],23010831.79458753
7,2,0,[2.0],[2.0],[2.0],23982826.145736583
7,45,0,[1.7542108309197724],[2.262979376255635],[1.7542108309197724],10396664.90424338
7,35,0,[1.8964996222006283],[1.8964996242006227],[1.8964996222006283],20124892.552880358
7,14,0,[2.0],[2.0],[2.0],84307025.14091516
7,13,0,[2.0],[2.0],[2.0],77391630.51962051
7,25,0,[2.0],[2.0],[2.0],86706636.2452231
7,6,0,[2.0],[2.0],[2.0],28002447.857718248
7,5,0,[2.0],[2.0],[2.0],22768867.7829838
7,31,0,[2.0],[2.0],[2.0],99477955.82255526
7,47,0,[9.870579295545991e-06],[1.1639943416326625e-05],[0.0],999.9999239956231
7,23,0,[2.0],[2.0],[2.0],30283267.46737235
7,46,0,[4.356809698020354e-05],[7.72924137422187e-05],[1.9071581513317405e-14],999.9984470927798
7,21,0,[2.0],[2.0],[2.0],54194242.328876205
7,44,0,[2.0],[2.0],[2.0],16882840.384990543
7,12,0,[2.0],[2.0],[2.0],76863760.56125253
7,11,0,[2.0],[2.0],[2.0],80268386.12332532
7,43,0,[1.79999999982],[1.79999999982],[1.79999999982],5804616.429094622
7,28,0,[1.8907532292665157],[1.8907532292665157],[1.8907532292665157],21520003.328346685
7,1,0,[2.0],[2.0],[2.0],67403938.65139101
7,40,0,[2.0],[2.0],[2.0],17152430.57785704
7,41,0,[1.799999995509236],[1.799999995509236],[1.799999995509236],6810562.72548654
7,15,0,[2.0],[2.0],[2.0],22735342.467930935
7,48,0,[2.0],[2.0],[2.0],84807551.28230496
7,42,0,[2.0],[2.0],[2.0],17815618.226951897
7,24,0,[2.0],[2.0],[2.0],21678516.623369552
7,22,0,[1.965475344041115],[1.965475344041115],[1.965475344041115],34280926.323900186
7,18,0,[2.0],[2.0],[2.0],73236587.97965878
7,9,0,[2.0],[2.0],[2.0],73277380.33844219
7,39,0,[2.0],[2.0],[2.0],18415660.7996683
7,10,0,[2.0],[2.0],[2.0],73514873.58351672
7,49,0,[2.0],[2.0],[2.0],76372320.85777092
7,38,0,[1.7999998358444296],[1.7999998318444297],[1.7999998358444296],7711819.982658493
7,20,0,[2.0],[2.0],[2.0],73882372.79690489
7,19,0,[2.0],[2.0],[2.0],79560094.4222321
7,37,0,[1.940691874850281],[1.7649320840916078],[1.9788158034261816],8478900.180230517
17,4,0,[2.0],[2.0],[2.0],68833884.99954319
17,29,0,[2.0],[2.0],[2.0],71882434.01241513
17,33,0,[2.0],[2.0],[2.0],67965697.37247218
17,26,0,[5.220030001346855e-11],[0.0007963934937101557],[3.306724231514101e-11],999.9732396754218
17,30,0,[2.0],[2.0],[2.0],75057747.06516439
17,16,0,[2.0],[2.0],[2.0],39863024.72666554
17,3,0,[1.8798443107878942],[1.8798443107878942],[1.8798443107878942],14811439.364025239
17,34,0,[2.0],[2.0],[2.0],76205996.44749367
17,36,0,[2.0],[2.0],[2.0],81070381.02357002
17,8,0,[2.0],[2.0],[2.0],48131798.818976074
17,32,0,[2.0],[2.0],[2.0],83117840.3011039
17,27,0,[1.9041966594469204],[1.9041966594469204],[1.9041966594469204],16082815.654784985
17,2,0,[1.9248089557794894],[1.9248089557794894],[1.9248089557794894],15666247.353122542
17,45,0,[2.0],[2.0],[2.0],79674647.37392575
17,35,0,[2.0],[2.0],[2.0],83319615.47616062
17,14,0,[2.0],[2.0],[2.0],75890413.10537238
17,13,0,[2.0],[2.0],[2.0],70899985.38884932
17,25,0,[1.926886265095239],[1.926886265095239],[1.926886265095239],28234474.516263295
17,6,0,[2.0],[2.0],[2.0],28732646.005323216
17,5,0,[1.9319603910579521],[1.9319603910579521],[1.9319603910579521],17158842.53264101
17,31,0,[2.0],[2.0],[2.0],86735004.03259169
17,47,0,[2.0],[2.0],[2.0],86448909.5166225
17,23,0,[2.0],[2.0],[2.0],31057227.35979517
17,46,0,[2.0],[2.0],[2.0],85298353.22687812
17,21,0,[2.0],[2.0],[2.0],51360196.78889088
17,44,0,[1.8790899408012565],[1.8790899408012565],[1.8790899408012565],11578585.830978291
17,12,0,[2.0],[2.0],[2.0],69769290.33296153
17,11,0,[2.0],[2.0],[2.0],72132728.31729215
17,43,0,[2.0],[2.0],[2.0],18793928.493747443
17,28,0,[2.0],[2.0],[2.0],83830577.63156463
17,1,0,[2.0],[2.0],[2.0],62869330.6132938
17,40,0,[1.9245914965302011],[1.9245914965302011],[1.9245914965302011],13984389.543774558
17,41,0,[1.8547624750605376],[1.8547624750605376],[1.8547624750605376],11133225.25671693
17,15,0,[0.0],[0.0],[0.0],1000.0
17,48,0,[2.0],[2.0],[2.0],75506334.59624487
17,42,0,[1.867948409281663],[1.867948409281663],[1.867948409281663],11164595.706936525
17,24,0,[1.929525737303946],[1.929525737303946],[1.929525737303946],15180285.42117542
17,22,0,[2.0],[2.0],[2.0],42885358.24974935
17,18,0,[1.8731059358311413],[1.8731059358311413],[1.8731059358311413],27569730.23772336
