Pt1,Pt2,Pt3,F1,F2,F3,Error
18,16,0,[2.0],[2.0],[2.0],20743578.47212731
18,17,0,[2.0],[2.0],[2.0],19196171.39789046
18,2,0,[1.8082900363248384],[1.8082900363248384],[1.8082900363248384],7626060.132643399
18,4,0,[1.8201947361210449],[1.8201947361210449],[1.8201947361210449],8484322.887323303
18,48,0,[2.0],[2.0],[2.0],22190502.63319045
18,26,0,[2.0],[2.0],[2.0],46903184.83343432
18,49,0,[1.8555667715401203],[1.8555667715401203],[1.8555667715401203],12812182.03185863
18,21,0,[2.0],[2.0],[2.0],47123193.73546456
18,3,0,[1.922140762262749],[1.922140762262749],[1.922140762262749],12549732.485683052
18,19,0,[2.0],[2.0],[2.0],21270049.59411834
18,23,0,[2.405372014259217],[1.8536013761134862],[1.8535051152551607],8826830.877495663
18,46,0,[1.8477494338707452],[1.8477494338707452],[1.8477494338707452],14172469.25570413
18,45,0,[2.0],[2.0],[2.0],24066816.579756178
18,5,0,[1.864754251630701],[1.864754251630701],[1.864754251630701],10473699.278642455
18,14,0,[1.9719512907204009],[1.9719512907204009],[1.9719512907204009],22250522.40562033
18,15,0,[2.0],[2.0],[2.0],23033483.577639684
18,44,0,[1.7736892228677614],[1.7736892228677614],[1.7736892228677614],12690535.21043989
18,43,0,[4.5778604843269275e-05],[8.672469284759264e-05],[6.804367007954523e-13],999.999500247641
18,13,0,[1.7602635269852025],[1.7602635269852025],[1.7602635269852025],13471963.187263608
18,20,0,[1.397325408615804e-21],[2.905886281436234e-21],[0.0],1000.0
18,24,0,[0.0],[0.0],[0.0],1000.0
18,47,0,[1.9765271724503426],[1.9765271724503426],[1.9765271724503426],17729120.701439265
18,25,0,[2.0],[2.0],[2.0],41075916.69356685
18,1,0,[2.0],[2.0],[2.0],49463390.44834734
18,41,0,[1.8545114660547728],[1.8545114660547728],[1.8545114660547728],4604689.20013443
18,28,0,[2.338568804356815],[1.9623812439603538],[1.9623812439603538],1613484.9727129948
18,35,0,[2.0],[2.0],[2.0],42277996.34818623
18,37,0,[2.0],[2.0],[2.0],41715725.31328513
18,22,0,[0.0],[0.0],[0.0],1000.0
18,39,0,[2.5138814415118964],[1.9003711969429717],[1.9003711969429717],13955312.185764955
18,29,0,[2.0],[2.0],[2.0],7787716.920206892
18,33,0,[0.0],[0.0],[0.0],1000.0
18,42,0,[2.0],[2.0],[2.0],44837076.06299777
18,36,0,[2.0],[2.0],[2.0],38699452.84179345
18,27,0,[4.97095878832186],[5.5599278352618375],[4.561880987840313],988.4477978793029
18,40,0,[4.4351345247035594e-05],[0.00015308957139146195],[2.9782427139666247e-12],999.9989656288311
18,38,0,[2.5407700917933234],[1.9399144342451864],[1.9399144342451864],20786206.81121102
18,11,0,[2.4623884337479396],[2.399187365666045],[1.9169466605465857],749137.8196987436
18,10,0,[7.22052124358774],[14.135270104108109],[6.398328578157956],187.2146999995362
18,31,0,[2.0],[2.0],[2.0],7438102.07162309
18,12,0,[2.347290952172003],[1.9614121164253329],[1.9614121164253329],1543735.1621745536
18,8,0,[2.2977615838328345],[2.2578395715372803],[1.9305498555787357],359306.2384530575
18,9,0,[2.3264074364035836],[1.9637325070662686],[1.9637325070662686],1701479.8473363833
18,7,0,[2.0],[2.0],[2.0],7638920.481859791
18,6,0,[2.3657755334205266],[1.959358274064386],[1.959358274064386],1403511.4772738286
18,32,0,[2.0],[2.0],[2.0],7699406.116214107
18,34,0,[2.0],[2.0],[2.0],39887386.21817052
18,30,0,[2.519717757357306],[2.142253582515855],[1.942253582515855],856895.1992681349
16,17,0,[2.0],[2.0],[2.0],19936218.0511193
16,2,0,[2.0],[2.0],[2.0],42403093.25587229
16,4,0,[2.0],[2.0],[2.0],43157751.407342896
16,48,0,[1.9649947109934407],[1.9649947109934407],[1.9649947109934407],20235301.07058538
16,26,0,[2.0],[2.0],[2.0],46574435.11808301
16,49,0,[1.9656320050010938],[1.9656320050010938],[1.9656320050010938],18888940.605153155
16,21,0,[0.0],[0.0],[0.0],1000.0
16,3,0,[1.8734876943076193],[1.8734876943076193],[1.8734876943076193],9540624.781391239
16,19,0,[2.0],[2.0],[2.0],22083071.11015544
16,23,0,[2.0],[2.0],[2.0],44440879.0765995
16,46,0,[1.7649749671879595],[1.7649749671879595],[1.7649749671879595],11991101.860803224
16,45,0,[1.9674908439569248],[1.9674908439569248],[1.9674908439569248],22455484.510316946
16,5,0,[1.9240790352311246],[1.9240790352311246],[1.9240790352311246],12546315.588881724
16,14,0,[1.8699615292481273],[1.8699615292481273],[1.8699615292481273],16851625.807864916
16,15,0,[2.0],[2.0],[2.0],23906327.77668205
16,44,0,[2.0],[2.0],[2.0],24421041.245670423
16,43,0,[1.8536248990634596],[1.8536248990634596],[1.8536248990634596],4837847.232094445
16,13,0,[1.8615863240939643],[1.8615863240939643],[1.8615863240939643],17222383.077654615
16,20,0,[1.9484089019547144],[1.9484089019547144],[1.9484089019547144],17662399.70934633
16,24,0,[2.0],[2.0],[2.0],40866561.26614703
16,47,0,[2.0],[2.0],[2.0],20841325.16343739
16,25,0,[0.0],[0.0],[0.0],1000.0
16,1,0,[2.0],[2.0],[2.0],49449551.23639076
16,41,0,[1.8555708229973011],[1.8555708229973011],[1.8555708229973011],4834164.062529159
16,28,0,[2.320459060155321],[1.96439343776052],[1.96439343776052],1726334.641900342
16,35,0,[2.0],[2.0],[2.0],42007280.3910204
16,37,0,[0.0],[0.0],[0.0],1000.0
16,22,0,[2.4879540037679937],[1.9457828884702228],[1.9457828884702228],19887157.193439886
16,39,0,[2.0],[2.0],[2.0],49836569.87951873
16,29,0,[2.0],[2.0],[2.0],7567307.509298103
16,33,0,[2.696160281950957],[2.339433048095615],[1.7581107068693749],1970179.6702083277
16,42,0,[1.841619117792502],[1.8984533584656242],[1.8984533584656242],3895832.8772308757
16,36,0,[2.0],[2.0],[2.0],38460939.324691445
16,27,0,[2.0],[2.0],[2.0],7605684.486476889
16,40,0,[5.549547830567366e-05],[0.00016321994427629782],[7.103701394812343e-17],999.9976465575484
16,38,0,[1.8355013494957095],[1.8355013494957095],[1.8355013494957095],3651273.6984426174
16,11,0,[14.622633670352508],[14.24456810943744],[3.383068989859761e-05],77.10380956600288
16,10,0,[2.0],[2.0],[2.0],6384066.780635119
16,31,0,[2.3152977457229675],[1.9649669171418924],[1.9649669171418924],1773429.7681185114
16,12,0,[2.0],[2.0],[2.0],7492284.14553084
16,8,0,[2.0],[2.0],[2.0],7429107.879178306
16,9,0,[2.0],[2.0],[2.0],7245212.91455553
16,7,0,[2.3272182813271414],[1.9636424131858732],[1.9636424131858732],1672277.8406779545
16,6,0,[2.0],[2.0],[2.0],7842141.058130249
16,32,0,[2.0],[2.0],[2.0],7484632.942651213
16,34,0,[2.0],[2.0],[2.0],39615265.100198045
16,30,0,[2.0],[2.0],[2.0],7416394.676068859
17,2,0,[2.0],[2.0],[2.0],42310937.17663021
17,4,0,[2.0],[2.0],[2.0],43092358.172325455
17,48,0,[2.0],[2.0],[2.0],21331852.861347873
17,26,0,[2.0],[2.0],[2.0],47274352.43953128
17,49,0,[1.8567258171862806],[1.8567258171862806],[1.8567258171862806],12237716.868944777
17,21,0,[2.432314474331969],[2.2332915688410457],[1.8347364384583407],9838173.644886598
17,3,0,[2.533497105121877],[1.940722543875347],[1.940722543875347],19002609.104511205
17,19,0,[1.9475979450981118],[1.9475979450981118],[1.9475979450981118],17161547.46391092
17,23,0,[2.0],[2.0],[2.0],45077982.75499799
17,46,0,[1.964086930408698],[1.964086930408698],[1.964086930408698],18782014.18199504
17,45,0,[2.0],[2.0],[2.0],23143551.58261658
17,5,0,[2.3221459296500657],[1.7689917390535375],[1.7689917390535375],9357365.38675001
17,14,0,[2.0],[2.0],[2.0],24022759.563312426
17,15,0,[1.8607646703457694],[1.8607646703457694],[1.8607646703457694],13674159.699802175
17,44,0,[2.0],[2.0],[2.0],22626590.670372758
17,43,0,[2.0],[2.0],[2.0],48747149.420918405
17,13,0,[1.9701953727357662],[1.9701953727357662],[1.9701953727357662],22119984.5214801
17,20,0,[2.0],[2.0],[2.0],19299389.108043212
17,24,0,[2.2371763371347217],[2.200510456703905],[1.749559706181444],5874407.348285382
17,47,0,[2.0],[2.0],[2.0],19287142.73808013
17,25,0,[0.0],[0.0],[0.0],1000.0
17,1,0,[2.4152113048960175],[1.9538654105671092],[1.9538654105671092],24999107.195806917
17,41,0,[2.5555343313044006],[1.9382739631883998],[1.9382739631883998],19415569.107353166
17,28,0,[2.0],[2.0],[2.0],7780248.240380391
17,35,0,[2.6257789532285565],[1.930469005196827],[1.930469005196827],15267100.088545293
17,37,0,[2.0],[2.0],[2.0],42023737.31946282
17,22,0,[2.0],[2.0],[2.0],43179132.48877388
17,39,0,[5.987363066595262e-07],[5.553851744075661e-05],[7.142993330851033e-15],999.999259345067
17,29,0,[2.55727690169355],[2.1380803442562724],[1.9380803442562722],755942.6802800455
17,33,0,[2.0],[2.0],[2.0],42608599.023329474
17,42,0,[5.9435632359127683e-05],[0.00018900901102006826],[6.188792261639542e-14],999.9989200641027
17,36,0,[2.0],[2.0],[2.0],38973834.220822856
17,27,0,[2.0],[2.0],[2.0],8079180.70620117
