Pt1,Pt2,Pt3,F1,F2,F3,Error
49,48,0,[2.0],[2.0],[2.0],36635155.11281105
49,26,0,[2.0],[2.0],[2.0],38498150.111749515
49,47,0,[1.209008351828329],[1.209008349828329],[1.209008351828329],8238340.831222116
49,46,0,[1.8506824669616961],[1.8506824669616961],[1.8506824669616961],4977630.797061179
49,44,0,[2.0],[2.0],[2.0],134755597.00479499
49,42,0,[2.0],[2.0],[2.0],145435337.56971437
49,19,0,[0.0],[0.00042346056901029067],[0.0],999.9766906907281
49,12,0,[2.0],[2.0],[2.0],140659766.11249667
49,25,0,[1.9355201663212096],[2.5803185031091127],[1.9355201663212096],6502231.606667084
49,16,0,[2.0],[2.0],[2.0],5935705.694705934
49,28,0,[2.0],[2.0],[2.0],142950308.2847271
49,20,0,[2.0],[2.0],[2.0],102398015.16345665
49,40,0,[1.9160345845899711],[1.9160345845899711],[2.116034584589971],4650650.395984345
49,1,0,[1.9417536218114915],[1.9417536218114915],[1.9417536218114915],5187839.445584847
49,13,0,[2.0],[2.0],[2.0],63983026.93879811
49,41,0,[2.0],[2.0],[2.0],45658789.09221183
49,39,0,[2.0],[2.0],[2.0],23168640.250000957
49,27,0,[2.0],[2.0],[2.0],124563685.5645215
49,23,0,[4.615936889454473e-20],[0.00013689544582705254],[0.0006357321091394027],999.9839044005597
49,21,0,[2.0],[2.0],[2.0],10591816.244587542
49,11,0,[2.0],[2.0],[2.0],120617484.99899885
49,37,0,[1.8],[1.8],[1.8],8098170.719056903
49,7,0,[1.9023266103960736],[1.9023266103960736],[1.9023266103960736],10921962.471264135
49,22,0,[2.0],[2.0],[2.0],1444393.2770455168
49,38,0,[2.0],[2.0],[2.0],10270736.603939548
49,4,0,[2.0],[2.0],[2.0],1657896.4772645214
49,14,0,[1.903553550841276],[1.903553550841276],[1.903553550841276],7143991.33886829
49,9,0,[2.0],[2.0],[2.0],107548356.46929896
49,36,0,[2.0],[2.0],[2.0],135455999.9756892
49,6,0,[2.0],[2.0],[2.0],84893249.79335935
49,35,0,[1.883071413167912],[2.0732806468212366],[1.883071413167912],621806.7942854221
49,43,0,[2.0],[2.0],[2.0],23135877.075734653
49,17,0,[2.0],[2.0],[2.0],8427607.236747582
49,32,0,[2.0],[2.0],[2.0],3382435.323185765
49,2,0,[1.915193936057229],[1.915193936057229],[1.915193936057229],7581026.956206958
49,3,0,[1.9210373411642439],[2.7106639295218056],[1.9210373411642439],5044428.289900847
49,34,0,[2.0],[2.0],[2.0],1390794.3958404462
49,30,0,[2.0],[2.0],[2.0],4081988.5926328343
49,5,0,[2.0],[2.0],[2.0],90895828.40790476
49,29,0,[2.0],[2.0],[2.0],79278330.46735424
49,24,0,[2.0],[2.0],[2.0],1389350.663014967
49,31,0,[2.0],[2.0],[2.0],2342525.9852313627
49,33,0,[2.0],[2.0],[2.0],1376953.141297542
49,10,0,[2.0],[2.0],[2.0],3358509.053549027
49,15,0,[2.0],[2.0],[2.0],2177595.9498759853
49,45,0,[1.957056209218031],[2.3864941170377216],[1.957056209218031],3849994.6880838242
49,18,0,[1.98],[2.18],[1.98],1353559.3950557215
49,8,0,[2.0],[2.0],[2.0],4134703.35500032
48,26,0,[2.0],[2.0],[2.0],20931520.229718834
48,47,0,[2.0],[2.0],[2.0],96382378.64276001
48,46,0,[2.0],[2.0],[2.0],29968169.669144634
48,44,0,[2.0],[2.0],[2.0],85198758.36424237
48,42,0,[2.0],[2.0],[2.0],92270714.04713228
48,19,0,[2.0],[2.0],[2.0],82579211.31946711
48,12,0,[1.8],[1.8],[1.8],2589083.0960086533
48,25,0,[2.0],[2.0],[2.0],12600218.046075987
48,16,0,[1.98],[2.18],[1.98],2237129.9309463883
48,28,0,[2.0],[2.0],[2.0],90548993.1390076
48,20,0,[2.0],[2.0],[2.0],62038196.70479271
48,40,0,[2.0],[2.0],[2.0],17638218.2537847
48,1,0,[7.318850420635687e-12],[0.0],[0.0002648972985329179],999.9891872387215
48,13,0,[1.890845214792575],[1.890845214792575],[1.890845214792575],5100956.953166253
48,41,0,[1.6084802610214695],[1.6084802610214695],[1.6084802610214695],2048220.1016126594
48,39,0,[2.0],[2.0],[2.0],11424272.572754439
48,27,0,[2.0],[2.0],[2.0],77310018.67552617
48,23,0,[1.8871385748871343],[2.077758632956542],[2.1448855303123615],1033866.872185693
48,21,0,[2.0],[2.0],[2.0],5106110.23182079
48,11,0,[2.0],[2.0],[2.0],74569926.42218639
48,37,0,[2.0],[2.0],[2.0],90257616.7347254
48,7,0,[2.0],[2.0],[2.0],36958455.07137385
48,22,0,[2.0],[2.0],[2.0],1127527.0737899002
48,38,0,[1.98],[2.18],[1.98],2673340.548350677
48,4,0,[2.0],[2.0],[2.0],1065799.1950395654
48,14,0,[2.0],[2.0],[2.0],19774590.35595876
48,9,0,[2.0],[2.0],[2.0],65231906.00161842
48,36,0,[2.0],[2.0],[2.0],85198334.87733571
48,6,0,[2.0],[2.0],[2.0],49586274.53156696
48,35,0,[2.0],[2.0],[2.0],1537767.184187652
48,43,0,[1.9126985073548723],[2.387713433806148],[1.9126985073548723],3338010.633360331
48,17,0,[1.0444189424339947e-08],[7.955960641541068e-08],[0.0001723981173818367],999.9905095143054
48,32,0,[1.98],[2.18],[1.98],1534920.46830301
48,2,0,[2.0],[2.0],[2.0],30371308.257621534
48,3,0,[2.0],[2.0],[2.0],9951406.664284084
48,34,0,[2.0],[2.0],[2.0],1139299.8434423264
48,30,0,[1.9602],[2.1582000000000003],[1.9602],1587409.2506022674
48,5,0,[2.0],[2.0],[2.0],53833638.225870065
48,29,0,[1.9193819272917194],[1.9193819272917194],[1.9193819272917194],5159647.241217714
48,24,0,[0.0],[0.09127956697905754],[0.1151307001034969],997.106612427185
48,31,0,[2.0],[2.0],[2.0],1369912.9379180125
48,33,0,[2.0],[2.0],[2.0],1146947.246387574
48,10,0,[2.0],[2.0],[2.0],1923514.88833541
48,15,0,[1.9138280874115332],[1.978484971094837],[2.51757436118749],878613.7909241065
48,45,0,[1.9577926337081397],[2.379866296626744],[1.9577926337081397],2739350.4400206865
48,18,0,[1.98],[2.0566183410881784],[1.98],1342212.65368946
48,8,0,[2.0],[2.0],[2.0],2005351.3254595285
26,47,0,[2.0],[2.0],[2.0],100136254.08731653
26,46,0,[2.0],[2.0],[2.0],31583089.43412501
26,44,0,[2.0],[2.0],[2.0],88635545.40719616
26,42,0,[1.7999764486604397],[1.7999764486604397],[1.7999764486604397],2807376.668262589
26,19,0,[2.0],[2.0],[2.0],85962541.47978531
26,12,0,[7.702727880959281e-15],[0.00011117479530944054],[0.0],999.9841319411688
26,25,0,[2.0],[2.0],[2.0],13422994.264350334
26,16,0,[1.98],[2.18],[1.98],2249598.582079454
26,28,0,[1.6801736723462315],[1.6801736723462315],[1.6801736723462315],2526602.002707467
26,20,0,[2.0],[2.0],[2.0],64805809.76925671
26,40,0,[1.9221480991457636],[1.9221480991457636],[1.9221480991457636],3269296.940093872
26,1,0,[2.0],[2.0],[2.0],15983256.071221566
26,13,0,[2.0],[2.0],[2.0],37969246.89494178
26,41,0,[2.0],[2.0],[2.0],25947428.35373904
26,39,0,[2.0],[2.0],[2.0],12196800.48652718
26,27,0,[2.0],[2.0],[2.0],80540956.61460629
26,23,0,[2.0],[2.0],[2.0],2336462.32306739
26,21,0,[2.0],[2.0],[2.0],5465577.623872642
26,11,0,[2.0],[2.0],[2.0],77733061.16394876
26,37,0,[2.0],[2.0],[2.0],93856097.0640618
26,7,0,[2.0],[2.0],[2.0],38892960.4066122
26,22,0,[1.3781958191914434e-10],[0.12158925778020425],[0.15546350622604926],994.5420907943211
26,38,0,[1.940598],[2.1366180000000004],[1.940598],2118689.71113194
26,4,0,[1.948785277566596],[2.0152885311043454],[1.948785277566596],737722.9596106096
26,14,0,[2.0],[2.0],[2.0],21001144.64264303
26,9,0,[2.0],[2.0],[2.0],68107221.98333755
26,36,0,[2.0],[2.0],[2.0],88657941.25325686
26,6,0,[2.0],[2.0],[2.0],51966954.97218349
26,35,0,[2.0],[2.0],[2.0],1567950.9944089048
26,43,0,[1.7795814871143811],[2.2413541464991553],[1.7795814871143811],2582098.639396472
26,17,0,[2.0],[2.0],[2.0],4315193.48838718
26,32,0,[2.0],[2.0],[2.0],1786600.0304255167
26,2,0,[2.0],[2.0],[2.0],32062589.02278533
26,3,0,[2.0],[2.0],[2.0],10683732.449039793
26,34,0,[2.0],[2.0],[2.0],1132901.9512225129
26,30,0,[2.0],[2.0],[2.0],2108264.0216269917
26,5,0,[2.0],[2.0],[2.0],56355731.210025124
26,29,0,[1.917115297353497],[1.917115297353497],[1.917115297353497],5202641.16256347
26,24,0,[2.0],[2.0],[2.0],1035119.0102596446
26,31,0,[1.9917720451864358],[2.0740515933220767],[1.9917720451864358],1329285.8337218068
26,33,0,[0.0],[0.03413796408785958],[0.0437034440114774],998.6213772683196
26,10,0,[1.9902884047961227],[2.0874043568348952],[1.9902884047961227],1873770.3713075186
26,15,0,[1.929381894147356],[2.0045344725646856],[1.929381894147356],855553.7637353227
26,45,0,[1.8413259193108849],[2.2536192968323476],[1.8413259193108849],2223391.0861304766
26,18,0,[2.0],[2.0],[2.0],1453517.3721588075
26,8,0,[2.0],[2.0],[2.0],2126038.203114391
47,46,0,[2.0],[2.0],[2.0],131666044.60000575
47,44,0,[2.0],[2.0],[2.0],282058569.73085856
47,42,0,[2.0],[2.0],[2.0],303982892.188779
47,19,0,[2.0],[2.0],[2.0],279835802.108055
47,12,0,[2.0],[2.0],[2.0],295974599.74601024
47,25,0,[2.0],[2.0],[2.0],71968305.84319334
47,16,0,[2.0],[2.0],[2.0],25553528.135977644
47,28,0,[2.0],[2.0],[2.0],299252553.78738505
47,20,0,[2.0],[2.0],[2.0],226862408.55843985
47,40,0,[2.0],[2.0],[2.0],93266697.35820545
47,1,0,[1.8],[1.8],[1.8],2740694.324475337
47,13,0,[2.0],[2.0],[2.0],155774744.73342657
47,41,0,[2.001368900170551e-05],[3.0479109316548212e-15],[1.1240882787338284e-10],999.9967586433901
47,39,0,[0.0003054123216291162],[1.9031775606052334e-08],[1.4932401947803563e-18],999.9722327979887
47,27,0,[2.0],[2.0],[2.0],267798500.21263662
47,23,0,[1.9060362326129485],[2.845673906483463],[1.9060362326129485],1458986.2673891985
47,21,0,[1.8935349353649955],[2.9581855817150395],[1.8935349353649955],6756206.806927552
47,11,0,[2.0],[2.0],[2.0],260702512.81411925
47,37,0,[2.0],[2.0],[2.0],299341493.2468538
47,7,0,[2.0],[2.0],[2.0],160849666.23000625
47,22,0,[2.0],[2.0],[2.0],10190545.85669883
47,38,0,[2.139773114468346],[3.3200769820815204],[1.5567895227440356],472687.5816967213
47,4,0,[7.972102285746798],[15.50442790011252],[8.541020451957744],252.0725692836202
47,14,0,[1.0237786413137768],[1.0237786413137768],[1.0237786413137768],18888587.47896676
47,9,0,[2.0],[2.0],[2.0],238257800.28461078
47,36,0,[2.0],[2.0],[2.0],286193399.34642226
47,6,0,[2.0],[2.0],[2.0],197433953.07556322
47,35,0,[2.0],[2.0],[2.0],12606476.63178866
47,43,0,[2.0],[2.0],[2.0],71888142.03459856
47,17,0,[2.0],[2.0],[2.0],32068408.66135957
