Pt1,Pt2,Pt3,F1,F2,F3,Error
1,4,0,[2.0],[2.0],[2.0],150461822.45040005
1,3,0,[2.0],[2.0],[2.0],157220254.0774059
1,49,0,[2.0],[2.0],[2.0],78666145.70234667
1,22,0,[2.0],[2.0],[2.0],30805817.34938905
1,5,0,[2.0],[2.0],[2.0],170522460.56488273
1,45,0,[1.8],[1.8],[1.8],8408565.76146117
1,47,0,[1.8],[1.8],[1.8],8020459.200519193
1,43,0,[2.0],[2.0],[2.0],148674378.18504342
1,42,0,[2.0],[2.0],[2.0],152595436.63058642
1,44,0,[2.0],[2.0],[2.0],88451484.94663441
1,20,0,[1.8],[3.8],[1.8],24068141.38514704
1,35,0,[2.0],[2.0],[2.0],152144105.61147177
1,2,0,[2.0],[2.0],[2.0],148692461.6398501
1,19,0,[1.8],[3.8],[1.8],27396742.69153995
1,37,0,[2.0],[2.0],[2.0],160083373.4848432
1,46,0,[2.0],[2.0],[2.0],89947369.47042158
1,29,0,[2.0],[2.0],[2.0],148603712.69956204
1,39,0,[2.0],[2.0],[2.0],161152245.11554447
1,48,0,[2.0],[2.0],[2.0],90862176.96940525
1,18,0,[2.0],[2.0],[2.0],29503503.97962502
1,8,0,[2.0],[2.0],[2.0],182010362.52287474
1,38,0,[2.0],[2.0],[2.0],160250075.00228268
1,17,0,[1.8276860323060582],[2.9002138561908657],[1.8276860323060582],22344617.693509724
1,10,0,[2.0],[2.0],[2.0],155776543.8513548
1,21,0,[2.0],[2.0],[2.0],29442767.865383316
1,33,0,[2.0],[2.0],[2.0],166048794.24932075
1,27,0,[2.0],[2.0],[2.0],30647562.151467156
1,34,0,[2.0],[2.0],[2.0],157992329.00579494
1,7,0,[2.0],[2.0],[2.0],156567130.92962104
1,40,0,[2.0],[2.0],[2.0],170868819.85912776
1,9,0,[2.0],[2.0],[2.0],194563350.48652998
1,13,0,[1.7329687192536276],[3.6584895184243247],[1.7329687192536276],19124371.87379458
1,6,0,[2.0],[2.0],[2.0],189921137.1319611
1,26,0,[3.496416164919607e-05],[0.0009667990549848757],[4.824432702953095e-05],999.9248875771135
1,11,0,[2.0],[2.0],[2.0],30197746.021516785
1,36,0,[2.0],[2.0],[2.0],178704943.72466382
1,30,0,[2.0],[2.0],[2.0],178667457.64636073
1,25,0,[2.0],[2.0],[2.0],29235841.20794488
1,28,0,[2.0],[2.0],[2.0],171172999.38794863
1,16,0,[2.0],[2.0],[2.0],29806028.275106415
1,15,0,[2.0],[2.0],[2.0],29716434.377820835
1,23,0,[2.0],[2.0],[2.0],29485128.118277803
1,14,0,[2.0],[2.0],[2.0],30932983.121304676
1,31,0,[2.0],[2.0],[2.0],171280538.15681627
1,24,0,[2.0],[2.0],[2.0],29280446.570955727
1,32,0,[2.0],[2.0],[2.0],191434903.0062401
1,41,0,[2.0],[2.0],[2.0],193032665.62402093
1,12,0,[2.0],[2.0],[2.0],29247829.483699128
4,3,0,[2.0],[2.0],[2.0],156517766.8063074
4,49,0,[2.0],[2.0],[2.0],78236978.85569061
4,22,0,[1.7440164684754162],[3.681812544559212],[1.7440164684754162],19213145.335956655
4,5,0,[2.0],[2.0],[2.0],169780846.27157286
4,45,0,[1.7999959228422806],[1.7999959228422806],[1.7999959228422806],8326661.492043884
4,47,0,[2.0],[2.0],[2.0],75923091.08672294
4,43,0,[2.0],[2.0],[2.0],148005559.6359041
4,42,0,[2.0],[2.0],[2.0],151915723.07653147
4,44,0,[2.0],[2.0],[2.0],87992254.86076298
4,20,0,[2.0],[2.0],[2.0],30109341.475708514
4,35,0,[2.0],[2.0],[2.0],151463662.23875335
4,2,0,[2.0],[2.0],[2.0],148015638.86896497
4,19,0,[2.0],[2.0],[2.0],29370811.47897955
4,37,0,[2.0],[2.0],[2.0],159382295.70939955
4,46,0,[1.7999866865702194],[1.7999866865702194],[1.7999866865702194],13913518.799314428
4,29,0,[2.0],[2.0],[2.0],147933521.7125063
4,39,0,[2.0],[2.0],[2.0],160448227.13972387
4,48,0,[1.8],[1.8],[1.8],14259717.97993412
4,18,0,[2.0],[2.0],[2.0],29294804.182726096
4,8,0,[0.0],[0.0],[0.0],1000.0
4,38,0,[2.0],[2.0],[2.0],159549032.10573098
4,17,0,[1.8899170874190763],[2.990746213228313],[1.8899170874190763],25902771.611388993
4,10,0,[2.0],[2.0],[2.0],155078368.19845524
4,21,0,[4.973827376346226e-05],[0.0011037970011993777],[6.647221027569822e-05],999.9160563573766
4,33,0,[2.0],[2.0],[2.0],165327411.83474857
4,27,0,[1.8],[3.8],[1.8],23157781.969671343
4,34,0,[2.0],[2.0],[2.0],157293756.8011916
4,7,0,[2.0],[2.0],[2.0],155866592.55994895
4,40,0,[1.2047039866329146],[1.2047039866329146],[1.2047039866329146],20576658.439553596
4,9,0,[2.0],[2.0],[2.0],193753505.32218426
4,13,0,[1.8],[3.8],[1.8],21950483.77458675
4,6,0,[2.0],[2.0],[2.0],189124237.83804476
4,26,0,[2.0],[2.0],[2.0],29078817.203657016
4,11,0,[2.0],[2.0],[2.0],29980017.643575948
4,36,0,[2.0],[2.0],[2.0],177951030.2890086
4,30,0,[2.0],[2.0],[2.0],177910179.22028023
4,25,0,[2.0],[2.0],[2.0],29032858.130409468
4,28,0,[2.0],[2.0],[2.0],170435792.41088417
4,16,0,[1.685994900515513],[3.744320273268387],[1.685994900515513],15761228.379417017
4,15,0,[2.0],[2.0],[2.0],29504522.469903655
4,23,0,[2.0],[2.0],[2.0],29276739.084075857
4,14,0,[1.8],[3.8],[1.8],21583565.08423415
4,31,0,[2.0],[2.0],[2.0],170542266.1456942
4,24,0,[1.5492306755124023],[3.0482766743825502],[1.5492306755124023],14774424.4261905
4,32,0,[2.0],[2.0],[2.0],190645076.9447731
4,41,0,[2.0],[2.0],[2.0],192239119.90953314
4,12,0,[1.8542228147533357],[2.6796881612848655],[1.8542228147533357],23145064.539128635
3,49,0,[1.8],[1.8],[1.8],11373981.55813816
3,22,0,[2.0],[2.0],[2.0],32812571.21092936
3,5,0,[2.0],[2.0],[2.0],177102000.53191113
3,45,0,[2.0],[2.0],[2.0],80243092.63835366
3,47,0,[2.0],[2.0],[2.0],80102834.81885627
3,43,0,[2.0],[2.0],[2.0],154612004.8298837
3,42,0,[2.0],[2.0],[2.0],158629018.96829686
3,44,0,[2.0],[2.0],[2.0],92539881.3353211
3,20,0,[1.6499465937700661],[4.445233248616687],[1.6499465937700661],18554910.283160456
3,35,0,[2.0],[2.0],[2.0],158184249.43970236
3,2,0,[2.0],[2.0],[2.0],154701133.9472267
3,19,0,[2.0],[2.0],[2.0],31464454.381722786
3,37,0,[2.0],[2.0],[2.0],166305157.56679186
3,46,0,[2.0],[2.0],[2.0],94074898.8978615
3,29,0,[2.0],[2.0],[2.0],154553534.42212275
3,39,0,[2.0],[2.0],[2.0],167399923.2989053
3,48,0,[2.0],[2.0],[2.0],95013473.04968697
3,18,0,[2.0],[2.0],[2.0],31376154.113353312
3,8,0,[2.0],[2.0],[2.0],188880399.29902396
