Pt1,Pt2,Pt3,F1,F2,F3,Error
1,3,0,[1.8],[1.8],[1.8],194690324.5172075
1,2,0,[2.0],[2.0],[2.0],406371727.0397405
1,27,0,[2.0],[2.0],[2.0],46885355.855581485
1,28,0,[2.0],[2.0],[2.0],39038005.748415224
1,26,0,[2.0],[2.0],[2.0],59491038.799615696
1,25,0,[2.0],[2.0],[2.0],79379394.52221091
1,6,0,[2.0],[2.0],[2.0],397815038.2538161
1,8,0,[1.8],[1.8],[1.8],176237397.545818
1,15,0,[2.0],[2.0],[2.0],105758250.13693865
1,14,0,[2.0],[2.0],[2.0],369124949.0999975
1,32,0,[2.0],[2.0],[2.0],23951245.44048337
1,9,0,[2.0],[2.0],[2.0],368183411.4649842
1,24,0,[2.0],[2.0],[2.0],153843613.72491905
1,35,0,[2.0],[2.0],[2.0],17174432.12953792
1,36,0,[2.0],[2.0],[2.0],16931535.785187174
1,33,0,[2.0],[2.0],[2.0],22183017.28828127
1,4,0,[2.0],[2.0],[2.0],364562062.91427165
1,31,0,[0.002647312805062776],[0.006663802622938809],[0.00217036675821984],999.6966342184156
1,45,0,[2.0],[2.0],[2.0],186280869.1677503
1,5,0,[2.0],[2.0],[2.0],360097995.3430853
1,34,0,[2.0],[2.0],[2.0],19528336.626365487
1,11,0,[2.0],[2.0],[2.0],346735329.49708617
1,39,0,[1.8352359736767878],[3.482876236908909],[1.8352359736767878],257254.03904272727
1,48,0,[2.0],[2.0],[2.0],119449214.06475565
1,38,0,[2.0],[2.0],[2.0],18096389.181485675
1,22,0,[2.0],[2.0],[2.0],122116499.08184761
1,40,0,[1.719317965113572],[2.5261383139778517],[1.719317965113572],672506.2708562677
1,7,0,[1.2642082762858308e-08],[1.3966012437039813e-05],[1.1333248163672217e-08],999.9976566814521
1,41,0,[1.9036182677443039],[2.867435590301266],[1.9036182677443039],2192968.3485616837
1,13,0,[2.0],[2.0],[2.0],349167772.0117076
1,21,0,[1.9089159974655563],[2.8197560228099943],[1.9089159974655563],13829083.697349902
1,37,0,[2.0],[2.0],[2.0],17736760.10807374
1,10,0,[1.6690975487700096e-08],[1.460479051681086e-05],[1.4905457290202617e-08],999.9975484868289
1,17,0,[1.909891093335444],[2.810980159981004],[1.909891093335444],11760893.506294614
1,47,0,[2.0],[2.0],[2.0],181077945.9379221
1,43,0,[2.0],[2.0],[2.0],30360602.15452912
1,18,0,[2.0],[2.0],[2.0],71873450.55025332
1,19,0,[2.0],[2.0],[2.0],97216464.69242775
1,44,0,[2.0],[2.0],[2.0],38494721.35135688
1,42,0,[2.0],[2.0],[2.0],31590706.366878763
1,29,0,[1.6725497379257044],[3.4633156512826924],[1.6725497379257044],4508727.569652505
1,23,0,[1.7594417564097683e-07],[0.0],[1.8035860525109543e-12],999.9999700947399
1,16,0,[1.9081607975718295],[2.8265528218535336],[1.9081607975718295],8689750.334978538
1,20,0,[2.0],[2.0],[2.0],42419126.526231796
1,46,0,[2.0],[2.0],[2.0],198105568.74444783
1,12,0,[2.0],[2.0],[2.0],333102398.41978216
1,49,0,[2.0],[2.0],[2.0],186733656.99248627
1,30,0,[0.0007689233435955195],[0.0012454435167906588],[3.3592212002869965e-16],999.959865129291
3,2,0,[2.0],[2.0],[2.0],423582355.9247773
3,27,0,[1.9119674646739704],[2.7922928179342668],[1.9119674646739704],22435816.018558905
3,28,0,[2.0],[2.0],[2.0],42570796.09686516
3,26,0,[2.0],[2.0],[2.0],64159588.02862178
3,25,0,[2.0],[2.0],[2.0],85055598.51338707
3,6,0,[2.0],[2.0],[2.0],414784869.33841103
3,8,0,[2.0],[2.0],[2.0],387288074.4632396
3,15,0,[2.0],[2.0],[2.0],112649482.00696982
3,14,0,[2.0],[2.0],[2.0],385274364.9564502
3,32,0,[2.0],[2.0],[2.0],26572545.1348302
3,9,0,[2.0],[2.0],[2.0],384305547.6845542
3,24,0,[2.0],[2.0],[2.0],162731848.24070194
3,35,0,[2.0],[2.0],[2.0],19314521.276602343
3,36,0,[1.8293239274636492],[3.063407588641022],[1.8234772697898374],697752.5978531556
3,33,0,[2.0],[2.0],[2.0],24692741.838361856
3,4,0,[1.1199797262138566e-08],[1.1983514422875827e-05],[1.3735253969928167e-08],999.99798789647
3,31,0,[2.0],[2.0],[2.0],33832944.22891831
3,45,0,[2.0],[2.0],[2.0],196398231.21647903
3,5,0,[2.0],[2.0],[2.0],375984895.8221512
3,34,0,[2.0],[2.0],[2.0],21849249.06767996
3,11,0,[2.0],[2.0],[2.0],362229530.5697301
3,39,0,[2.0],[2.0],[2.0],21433345.958048124
3,48,0,[2.0],[2.0],[2.0],126946533.02424347
3,38,0,[2.0],[2.0],[2.0],20312168.996865775
3,22,0,[2.0],[2.0],[2.0],129735072.35095027
3,40,0,[1.9113441199734347],[2.7979029202390873],[1.9113441199734347],3448763.64031017
3,7,0,[2.0],[2.0],[2.0],360810716.17464256
3,41,0,[1.8564297914726025],[2.831179458864357],[1.8564297914726025],1569066.4518855228
3,13,0,[2.0],[2.0],[2.0],364733830.3950749
3,21,0,[2.0],[2.0],[2.0],57802117.50790046
3,37,0,[1.1487843464992009e-05],[4.382521504430771],[4.071789827571541],872.4175854722571
3,10,0,[2.0],[2.0],[2.0],350693931.8402724
3,17,0,[2.0],[2.0],[2.0],50791548.950704634
3,47,0,[2.0],[2.0],[2.0],191029285.51664373
3,43,0,[2.0],[2.0],[2.0],33399837.59577883
3,18,0,[2.0],[2.0],[2.0],77181056.0256375
3,19,0,[2.0],[2.0],[2.0],103760787.93256061
3,44,0,[2.0],[2.0],[2.0],42043509.466131106
3,42,0,[1.853957152917917],[2.829248422217218],[1.853957152917917],2718110.4874606016
3,29,0,[0.0],[0.000556268281689699],[0.00034536981827813746],999.983751491036
3,23,0,[2.0],[2.0],[2.0],167172680.86709517
3,16,0,[2.0],[2.0],[2.0],43600621.88777879
3,20,0,[3.1625317576289327e-08],[0.0],[6.46814272051973e-05],999.9899551631554
3,46,0,[2.0],[2.0],[2.0],208687583.845663
3,12,0,[1.8],[1.8],[1.8],165582540.11507767
3,49,0,[2.0],[2.0],[2.0],196908558.327887
3,30,0,[2.0],[2.0],[2.0],40416854.75405148
2,27,0,[1.8488523956987455],[3.3603284387112895],[1.8488523956987455],16790817.23604411
2,28,0,[2.0],[2.0],[2.0],41767215.115119405
2,26,0,[2.0],[2.0],[2.0],63100811.728929244
2,25,0,[2.0],[2.0],[2.0],83770634.29053088
2,6,0,[2.0],[2.0],[2.0],410972152.393624
2,8,0,[2.0],[2.0],[2.0],383646051.171254
2,15,0,[2.0],[2.0],[2.0],111092029.96344082
2,14,0,[1.2080581147219358e-08],[1.0785366853766555e-05],[1.3850567475865337e-08],999.9981864878446
2,32,0,[2.0],[2.0],[2.0],25973934.855586752
2,9,0,[2.0],[2.0],[2.0],380682277.87893605
2,24,0,[2.0],[2.0],[2.0],160726943.8073381
2,35,0,[2.0],[2.0],[2.0],18824303.004800484
2,36,0,[2.0],[2.0],[2.0],18566842.903220795
2,33,0,[7.996836333862396e-09],[0.09466424684720089],[0.08273796391709341],994.6950651178945
2,4,0,[2.0],[2.0],[2.0],376979286.7141303
2,31,0,[1.859457759585637],[4.513465562248189],[1.859457759585637],3623195.1556028435
2,45,0,[2.0],[2.0],[2.0],194118126.5724905
2,5,0,[2.0],[2.0],[2.0],372414202.47987705
