Pt1,Pt2,Pt3,F1,F2,F3,Error
3,5,0,[2.0],[2.0],[2.0],315163702.90066504
3,6,0,[2.0],[2.0],[2.0],315735397.8506537
3,2,0,[2.0],[2.0],[2.0],369770998.20902604
3,1,0,[2.0],[2.0],[2.0],360675973.64816153
3,34,0,[1.978267660311598],[1.978267660311598],[1.978267660311598],63208200.52472796
3,33,0,[2.0],[2.0],[2.0],65657994.60982715
3,36,0,[1.9798456008142769],[1.9798456008142769],[1.9798456008142769],63454018.99406733
3,37,0,[2.0],[2.0],[2.0],65625520.902235135
3,7,0,[2.0],[2.0],[2.0],321669109.3255256
3,44,0,[2.0],[2.0],[2.0],10708385.863021301
3,45,0,[2.0],[2.0],[2.0],16469425.950507404
3,35,0,[2.0],[2.0],[2.0],65430156.39046505
3,27,0,[2.0],[2.0],[2.0],330568875.33536386
3,4,0,[2.0],[2.0],[2.0],298120435.69814825
3,24,0,[1.9176734257194334],[1.9176734257194334],[1.9176734257194334],29733395.78031388
3,20,0,[2.0],[2.0],[2.0],65422630.76612083
3,47,0,[2.0],[2.0],[2.0],11859605.564449897
3,28,0,[2.0],[2.0],[2.0],339656311.34443533
3,43,0,[2.0],[2.0],[2.0],14585547.072440196
3,21,0,[2.0],[2.0],[2.0],65701124.062369175
3,23,0,[0.0],[0.0],[0.0],1000.0
3,18,0,[1.901056175014826],[2.8904944248665663],[1.901056175014826],32939906.37175601
3,30,0,[2.0],[2.0],[2.0],324681894.32964456
3,25,0,[2.0],[2.0],[2.0],345021753.1557361
3,26,0,[0.0],[0.0],[0.0],1000.0
3,46,0,[1.8614685822785086],[3.2467827594934233],[1.8614685822785086],345752.34005786356
3,17,0,[1.8953142409882877],[2.942171831105411],[1.8953142409882877],30725899.319436006
3,32,0,[2.0],[2.0],[2.0],331723501.3643981
3,42,0,[0.0],[13.91118763396806],[12.794494493591541],211.7072254640932
3,29,0,[2.0],[2.0],[2.0],338693939.871284
3,41,0,[2.0],[2.0],[2.0],65647276.9777406
3,40,0,[0.0],[0.0],[0.0],1000.0
3,12,0,[1.9095833819940093],[2.813749562053917],[1.9095833819940093],1174464.9096201384
3,38,0,[1.9061204452582194],[2.8449159926760252],[1.9061204452582194],57952308.50787188
3,10,0,[2.0],[2.0],[2.0],14499161.377146235
3,16,0,[2.0],[2.0],[2.0],13705675.696459193
3,39,0,[1.9055794090168612],[2.84978531884825],[1.9055794090168612],57631129.99910963
3,49,0,[12.66139761316831],[14.285555130963822],[1.6241928911351708],0.027182108269213252
3,31,0,[2.0],[2.0],[2.0],302511843.6430699
3,15,0,[0.05398163020641],[0.052215264872407866],[1.8636373629863515e-17],998.1242397340876
3,8,0,[2.0],[2.0],[2.0],16918099.990275256
3,11,0,[2.0],[2.0],[2.0],16490256.357114205
3,48,0,[2.0],[2.0],[2.0],10293187.47709362
3,22,0,[2.0],[2.0],[2.0],65775957.36609088
3,14,0,[2.0],[2.0],[2.0],9395165.737936316
3,19,0,[0.0],[0.0],[0.0],1000.0
3,13,0,[0.05093561630464666],[0.04730676596208535],[1.9296213661769965e-08],998.3271074543978
3,9,0,[2.0],[2.0],[2.0],18310733.798284534
5,6,0,[2.0],[2.0],[2.0],284340807.60761815
5,2,0,[1.2593123724042639],[1.2593123724042639],[1.2593123724042639],66060474.11672973
5,1,0,[2.0],[2.0],[2.0],326316622.67790854
5,34,0,[1.9742128721562624],[1.9742128721562624],[1.9742128721562624],53279673.19490221
5,33,0,[0.24350443691315662],[0.6715504461411052],[0.24350443691315662],7474530.4500043485
5,36,0,[1.9361723591004414],[2.326301196377403],[1.9361723591004414],51551685.94595078
5,37,0,[1.8983488982581125],[2.278463461742578],[1.8983488982581125],46583643.88691941
5,7,0,[2.0],[2.0],[2.0],289875501.57783747
5,44,0,[2.0],[2.0],[2.0],7654744.257491934
5,45,0,[2.0],[2.0],[2.0],12339512.539369723
5,35,0,[2.0],[2.0],[2.0],56193545.83919469
5,27,0,[2.0],[2.0],[2.0],298181283.68961596
5,4,0,[2.0],[2.0],[2.0],267925135.98891604
5,24,0,[1.9257831045038327],[1.9257831045038327],[1.9257831045038327],24520237.34626061
5,20,0,[1.8936098430350585],[2.160116914085123],[1.8936098430350585],14860790.228146773
5,47,0,[0.0],[14.149532220830192],[14.832736990431428],141.61700739451265
5,28,0,[2.0],[2.0],[2.0],306667591.80329865
5,43,0,[2.0],[2.0],[2.0],10792066.036279326
5,21,0,[2.0],[2.0],[2.0],56689689.23613145
5,23,0,[2.0],[2.0],[2.0],56088394.87349847
5,18,0,[2.0],[2.0],[2.0],56056744.10811974
5,30,0,[2.0],[2.0],[2.0],292686613.04573834
5,25,0,[2.0],[2.0],[2.0],311680588.66799223
5,26,0,[0.0],[0.0],[0.0],1000.0
5,46,0,[8.257598130996811],[14.989445873050233],[6.732002094792475],0.11185332068772041
5,17,0,[0.0],[0.0],[0.0],1000.0
5,32,0,[2.0],[2.0],[2.0],299259234.4526648
5,42,0,[1.9087468969414485],[2.821277927526964],[1.9087468969414485],1539945.948839143
5,29,0,[2.0],[2.0],[2.0],305768628.89751846
5,41,0,[2.0],[2.0],[2.0],56089909.69039167
5,40,0,[1.871748003650445],[2.7622528893052496],[1.871748003650445],43590070.337599576
5,12,0,[5.5563547005407233e-11],[0.07376039300092414],[0.07725544510005716],997.5084209394345
