Pt1,Pt2,Pt3,F1,F2,F3,Error
31,129,133,[0.09162607535359431],[0.04872240258546597],[0.0],19.97061948804751
32,55,139,[0.44842220454715304],[2.7405225967622e-16],[0.9936296858484492],19.845260142674025
34,71,116,[0.0],[0.1313111465024538],[0.12547728137420266],19.95867001644864
36,106,125,[8.801530122752824],[0.0],[14.787516835903691],13.892385109435905
36,122,128,[2.4031838603288387],[2.4034673117645715],[3.016834958014816e-16],19.557972385025703
41,59,118,[27.72248288378159],[42.126149137148005],[69.84606596443011],19.680984813096764
41,59,124,[46.070046240930715],[21.1966072863897],[67.26706088599178],19.48960870733834
41,118,150,[69.64089186084665],[25.13029278308907],[44.50999471258361],19.86894192114337
44,106,125,[10.745609137242552],[2.297149106352971e-12],[15.811975847136583],13.366509639048767
49,106,131,[69.99999907660043],[37.63826852409124],[32.36302508807399],19.884957883707344
53,57,132,[0.13500287670790767],[0.0],[0.39483575882390737],19.86240777820311
54,65,130,[39.82754669884385],[30.16721063063728],[69.99308827133035],19.956042077437775
54,65,133,[45.18366204626319],[21.93461365544714],[67.11498329371466],19.956042286246877
54,65,136,[0.0],[0.098717463638581],[0.2163520996140878],19.925779418043906
54,65,145,[0.0],[0.0985220496166873],[0.213626348328977],19.926756543380993
54,117,124,[69.23800467530037],[25.999073835016844],[43.23662653192707],19.489608720552898
58,106,125,[4.997370674293628],[1.978218454840905e-13],[12.320524985840615],15.083512008930576
61,69,119,[0.871824395980771],[0.0],[0.8738191241787737],19.7402065639011
61,69,122,[49.15329613433142],[9.589810789329679],[58.742418877948786],19.92407214627782
61,118,150,[0.29745277974779494],[0.3801482984400729],[0.0],19.86911484342154
64,68,147,[41.665900349548934],[28.333673221691928],[69.99996383778387],19.97700903940492
65,73,130,[38.775791391986935],[31.228367694715512],[69.99988529961948],19.967874014168
70,118,150,[0.2698894881787836],[0.37897613141570075],[0.0],19.86924343667299
