Pt1,Pt2,Pt3,F1,F2,F3,Error
7,35,0,[2.0],[2.0],[2.0],78448149.0247221
7,13,0,[1.9204400756008624],[1.9204400756008624],[1.9204400756008624],39982070.151534244
7,33,0,[2.0],[2.0],[2.0],75330037.25994328
7,17,0,[1.948784493065725],[1.948784493065725],[1.948784493065725],40172678.55667759
7,4,0,[2.0],[2.0],[2.0],75952525.06242964
7,36,0,[2.0],[2.0],[2.0],82104312.28694099
7,26,0,[2.0],[2.0],[2.0],86162935.59942748
7,29,0,[2.0],[2.0],[2.0],87532345.88606586
7,32,0,[2.0],[2.0],[2.0],90809873.895592
7,6,0,[2.0],[2.0],[2.0],28080000.131398674
7,3,0,[2.0],[2.0],[2.0],92622038.06506354
7,34,0,[2.0],[2.0],[2.0],88354061.80053271
7,14,0,[2.0],[2.0],[2.0],81366097.78271909
7,27,0,[2.0],[2.0],[2.0],94124371.67192405
7,5,0,[2.0],[2.0],[2.0],22617731.07935811
7,31,0,[2.0],[2.0],[2.0],93323699.1811029
7,30,0,[1.8982792929783832],[1.898279294978383],[1.8982792929783832],20551257.884955503
7,2,0,[1.9050585935370958],[1.9050585935370958],[1.9050585935370958],10957376.294533929
7,25,0,[2.0],[2.0],[2.0],85446540.86310145
7,45,0,[2.0],[2.0],[2.0],89974247.40807036
7,16,0,[2.0],[2.0],[2.0],39147001.1077913
7,47,0,[2.0],[2.0],[2.0],98417606.64169593
7,15,0,[1.8748592691411219],[1.8748592691411219],[1.8748592691411219],11147639.453904932
7,8,0,[2.0],[2.0],[2.0],49614729.16846997
7,43,0,[2.0],[2.0],[2.0],16540808.992486631
7,21,0,[2.0],[2.0],[2.0],53445955.894948676
7,1,0,[1.8914248458509682],[1.8914248458509682],[1.8914248458509682],31305380.828187134
7,28,0,[2.0],[2.0],[2.0],94517006.6350406
7,44,0,[2.0],[2.0],[2.0],16706286.439842062
7,49,0,[2.0],[2.0],[2.0],78330861.96174933
7,40,0,[2.0],[2.0],[2.0],17127377.210750174
7,9,0,[2.0],[2.0],[2.0],73291002.91328362
7,24,0,[2.0],[2.0],[2.0],21355153.901254322
7,42,0,[2.0],[2.0],[2.0],17542831.280251767
7,41,0,[2.0],[2.0],[2.0],17596449.270417448
7,46,0,[2.0],[2.0],[2.0],95443834.09217864
7,11,0,[1.8983071125745925],[1.8983071125745925],[1.8983071125745925],30564067.91664804
7,23,0,[1.8],[1.8],[1.8],14006706.61613964
7,10,0,[1.9168246250997232],[1.9168246250997232],[1.9168246250997232],40760454.79533515
7,48,0,[2.0],[2.0],[2.0],82684849.12206805
7,18,0,[2.0],[2.0],[2.0],71761060.4658156
7,39,0,[0.0],[0.0],[0.0],986179.00404481
7,20,0,[1.9285948254816034],[1.9285948254816034],[1.9285948254816034],40982176.82165214
7,38,0,[1.8],[1.8],[1.8],7916767.581769438
7,22,0,[0.0],[0.0006006347576112489],[0.0],999.9887172398163
7,12,0,[1.922378108537389],[1.922378108537389],[1.922378108537389],36284953.9227377
7,37,0,[2.0],[2.0],[2.0],19380065.475651983
7,19,0,[2.0],[2.0],[2.0],78644048.18517311
35,13,0,[2.0],[2.0],[2.0],79686563.2155178
35,33,0,[2.0],[2.0],[2.0],125536737.16977824
35,17,0,[0.00023640904584936638],[1.7363325260360202e-08],[2.003534955183356e-08],999.9690983377885
35,4,0,[2.0],[2.0],[2.0],91189174.09698805
35,36,0,[1.7999523022067319],[1.7999523022067319],[1.7999523022067319],16928835.826517556
35,26,0,[2.0],[2.0],[2.0],120687918.38102451
35,29,0,[2.0],[2.0],[2.0],145688270.49889517
35,32,0,[2.0],[2.0],[2.0],151032208.3357199
35,6,0,[2.0],[2.0],[2.0],11830652.146283913
35,3,0,[2.0],[2.0],[2.0],137914837.54004726
35,34,0,[2.0],[2.0],[2.0],147030593.79062265
35,14,0,[2.0],[2.0],[2.0],101794051.363296
35,27,0,[2.0],[2.0],[2.0],144098527.98668426
35,5,0,[1.9535008276751442],[2.1849900682634043],[1.9535008276751442],2025545.508805388
35,31,0,[2.0],[2.0],[2.0],155113149.63536775
35,30,0,[2.0],[2.0],[2.0],155183755.71240485
35,2,0,[1.9747448089864128],[2.2272967191222843],[1.9747448089864128],3131482.800404766
35,25,0,[2.0],[2.0],[2.0],111097192.33990666
35,45,0,[2.0],[2.0],[2.0],148183446.412442
35,16,0,[2.0],[2.0],[2.0],26496866.763999958
35,47,0,[2.0],[2.0],[2.0],148449807.42979082
35,15,0,[1.9540556743603736],[2.1807581388989967],[1.9540556743603736],2017848.6757956108
35,8,0,[2.0],[2.0],[2.0],41118064.5910697
35,43,0,[14.345832940097566],[12.131305028598144],[3.1222937274878673],11.296038830495059
