Pt1,Pt2,Pt3,F1,F2,F3,Error
22,23,0,[2.0],[2.0],[2.0],15983190.42877143
22,36,0,[2.2025715793964435],[1.921866387153998],[1.921866387153998],1509399.3272906905
22,43,0,[2.0],[2.0],[2.0],489144.60715539753
22,21,0,[2.0],[2.0],[2.0],24466360.741239347
22,13,0,[2.0],[2.0],[2.0],4230576.545969815
22,1,0,[1.2505268320899945e-15],[0.0005548900201849356],[0.00012972179844144785],999.9774146432763
22,30,0,[2.0],[2.0],[2.0],1474316.963412322
22,31,0,[2.0],[2.0],[2.0],20047444.670898028
23,36,0,[2.0],[2.0],[2.0],1653480.506512296
23,43,0,[2.0],[2.0],[2.0],14171494.205164662
23,21,0,[1.9035517722576343],[1.9035517722576343],[1.9035517722576343],22585501.46921369
23,13,0,[1.9250857903418641],[1.9250857903418641],[1.9250857903418641],15250457.491830455
23,1,0,[1.98],[2.18],[1.98],2911612.4210681757
23,30,0,[1.9545592034354855],[1.9545592034354855],[1.9545592034354855],13067057.829456003
23,31,0,[1.9184258401178387],[1.9184258401178387],[1.9184258401178387],53560658.750327915
36,43,0,[2.0],[2.0],[2.0],2061750.8413844216
36,21,0,[2.0],[2.0],[2.0],13483249.237922182
36,13,0,[2.0],[2.0],[2.0],976795.914754106
36,1,0,[1.8796631510648047],[1.8796631510648047],[2.4520113454561185],2983498.6345042842
36,30,0,[2.0],[2.0],[2.0],616495.6044303353
36,31,0,[2.18],[1.98],[1.98],1653453.4691643526
43,21,0,[2.0],[2.0],[2.0],21308334.56202756
43,13,0,[2.5505973331113596],[1.9388225185431822],[1.9388225185431822],1755290.5949327094
43,1,0,[2.0],[2.0],[2.0],212296.4301516947
43,30,0,[10.531342485864785],[0.5313382940890395],[1.7502458532589913e-07],0.004712230431327623
43,31,0,[2.0],[2.0],[2.0],17949564.501330405
21,13,0,[1.7319476115860135],[1.7319476115860135],[1.7319476115860135],13135130.475179274
21,1,0,[1.937068828313453],[2.566380545178923],[1.937068828313453],3244485.1738056256
21,30,0,[1.0664145437759916e-14],[1.4284936732749063e-14],[7.814948887049369e-11],999.9999999977913
21,31,0,[2.0],[2.0],[2.0],85468179.48415521
13,1,0,[2.0],[2.0],[2.0],357078.7385913298
13,30,0,[2.0],[2.0],[2.0],7309117.527800242
13,31,0,[2.0],[2.0],[2.0],44756328.07066258
1,30,0,[2.692014314113617],[2.620743914367764],[1.904755576388462],48054.52279029683
1,31,0,[2.2263544530974224],[1.9748495052113975],[1.9748495052113975],4087185.974446046
30,31,0,[1.9447435863066547],[1.9447435863066547],[1.9447435863066547],18095579.205770202
3,12,1,[2.0],[2.0],[2.0],6015138.710924234
3,22,1,[0.4200769687088193],[0.0],[0.5999559622010587],995.0278871425998
3,31,1,[1.7075364824594939],[1.7075364824594939],[4.6321716578645535],2836507.918612669
3,11,1,[1.9384612964854884],[1.9384612964854884],[2.5538483316306038],1369296.3915967136
3,0,1,[1.98],[1.98],[2.18],250393.60391303833
3,13,1,[2.0],[2.0],[2.0],1981782.646679645
12,22,1,[1.6893675597735422],[4.79569196203812],[1.6893675597735422],1337826.0436682664
12,31,1,[2.0],[2.0],[2.0],637356.778009362
12,11,1,[2.0],[2.0],[2.0],16828020.603776626
12,0,1,[1.7085033673837846],[4.623469693545939],[1.7085033673837846],7937524.856152546
12,13,1,[1.9380235750025478],[2.557787824977069],[1.9380235750025478],185809.08646629725
22,31,1,[2.0],[2.0],[2.0],4277141.374304002
22,11,1,[2.0],[2.0],[2.0],1024422.9628471234
22,0,1,[2.0],[2.0],[2.0],157230.94837232918
22,13,1,[0.0],[3.686878251464671e-10],[0.0006012634072898377],999.9783261596451
31,11,1,[2.0],[2.0],[2.0],12709438.874958165
31,0,1,[2.0],[2.0],[2.0],6578311.0691742385
31,13,1,[2.0],[2.0],[2.0],14029011.625170982
11,0,1,[2.0],[2.0],[2.0],1173246.1626306649
11,13,1,[2.0],[2.0],[2.0],631793.057254062
0,13,1,[2.0],[2.0],[2.0],357078.73859132983
15,16,2,[2.0],[2.0],[2.0],57371715826.3942
15,49,2,[0.0],[0.0],[0.0],1000.0
15,48,2,[2.0],[2.0],[2.0],28344300565.130043
15,28,2,[2.0],[2.0],[2.0],16643155438.166908
15,40,2,[2.0],[2.0],[2.0],15212972900.165352
16,49,2,[2.0],[2.0],[2.0],54172163458.00452
16,48,2,[2.0],[2.0],[2.0],34385703552.67017
16,28,2,[2.0],[2.0],[2.0],20964588594.445885
16,40,2,[2.0],[2.0],[2.0],19267630147.046146
49,48,2,[1.8],[1.8],[1.8],3019089745.8165946
49,28,2,[2.0],[2.0],[2.0],15299446068.306837
49,40,2,[1.9418462443885118],[4.778904543462091],[1.5559637720771777],6287101.041907033
48,28,2,[1.8],[1.8],[1.8],57246948.28525323
48,40,2,[2.0],[2.0],[2.0],6681539354.739186
28,40,2,[2.0],[2.0],[2.0],2611947303.979267
1,12,3,[2.0],[2.0],[2.0],6015138.710924234
1,11,3,[2.5534134417820753],[1.9385096175797694],[1.9385096175797694],1369804.250016452
1,31,3,[0.004435277930848843],[0.0020546493259626605],[1.5580947372752696e-07],999.8602318514718
1,22,3,[2.0],[2.0],[2.0],308117.46027932054
12,11,3,[2.0],[2.0],[2.0],2983096.352929646
12,31,3,[2.551544747236232],[1.9387172503070853],[1.9387172503070853],1721894.7616305624
12,22,3,[2.0],[2.0],[2.0],752191.2688415302
11,31,3,[2.0],[2.0],[2.0],61953078.28078391
11,22,3,[2.0],[2.0],[2.0],6356222.676737161
31,22,3,[1.5930211370272398],[3.8927862811690197],[1.5930211370272398],16701319.896616748
13,44,4,[2.0],[2.0],[2.0],7547087.379745445
13,11,4,[2.0],[2.0],[2.0],3350432.6942945328
13,31,4,[2.0],[2.0],[2.0],35357553.56617388
13,12,4,[2.3582],[2.1602],[2.3582],128409.86224237997
13,23,4,[1.9072522513387633],[1.9072522513387633],[1.9072522513387633],940717.0528976105
13,36,4,[2.0],[2.0],[2.0],590406.6061656435
44,11,4,[2.0],[2.0],[2.0],11327324.482632468
44,31,4,[2.0],[2.0],[2.0],98558.55467436227
44,12,4,[1.620826043623618],[1.620826043623618],[5.403488081323814],5066662.826861104
44,23,4,[1.98],[2.18],[2.18],94163.19691859143
44,36,4,[2.0],[2.0],[2.0],66562811.69938048
11,31,4,[2.0],[2.0],[2.0],25814824.1530966
11,12,4,[2.0],[2.0],[2.0],4579180.198218778
11,23,4,[2.0],[2.0],[2.0],20926788.18865139
11,36,4,[1.961880828702574],[1.961880828702574],[2.343072541676835],172496.39178282247
31,12,4,[2.0],[2.0],[2.0],238315.47240912306
31,23,4,[2.0],[2.0],[2.0],85396648.66927129
31,36,4,[2.0],[2.0],[2.0],985483.5833126463
12,23,4,[2.1491676579519825],[2.1511592876970957],[2.4320331813282934],47817.269746541504
12,36,4,[2.0],[2.0],[2.0],30928098.22518966
23,36,4,[2.0],[2.0],[2.0],501587.907120139
32,23,5,[2.0],[2.0],[2.0],223324204.04813898
32,44,5,[2.0],[2.0],[2.0],11675102.406100154
32,36,5,[2.0],[2.0],[2.0],29476220.656073507
32,13,5,[2.0],[2.0],[2.0],141695514.16956675
32,26,5,[1.916578150084647],[1.916578150084647],[1.916578150084647],11598535.78344101
32,6,5,[2.0],[2.0],[2.0],613706660.3130599
23,44,5,[2.0],[2.0],[2.0],9935009.755866056
23,36,5,[1.9475548744675988],[2.4720061297916107],[1.9475548744675988],4381012.122075473
23,13,5,[2.0],[2.0],[2.0],116605034.17426008
23,26,5,[1.9049228322271805],[1.9049228322271805],[1.9049228322271805],7361009.762745951
23,6,5,[2.0],[2.0],[2.0],558184247.3648436
44,36,5,[2.0],[2.0],[2.0],46761422.122514464
44,13,5,[2.0],[2.0],[2.0],20374604.765919957
44,26,5,[2.0],[2.0],[2.0],9177860.936485572
44,6,5,[2.0],[2.0],[2.0],229143179.57234448
36,13,5,[2.0],[2.0],[2.0],20268524.74121461
36,26,5,[2.0],[2.0],[2.0],16443534.419869846
36,6,5,[2.0],[2.0],[2.0],266965754.2414728
13,26,5,[2.0],[2.0],[2.0],92278124.81217983
13,6,5,[2.0],[2.0],[2.0],497700614.20469373
26,6,5,[2.0],[2.0],[2.0],500811946.05388415
45,39,6,[2.0],[2.0],[2.0],88610562.76506199
45,32,6,[2.0],[2.0],[2.0],104871363.34632087
45,26,6,[2.0],[2.0],[2.0],81177451.23846368
45,38,6,[2.0],[2.0],[2.0],67946061.39489882
45,7,6,[2.947132244032263],[1.8947630839964151],[1.8947630839964151],748521203.3025987
45,5,6,[2.0],[2.0],[2.0],239563512.38030425
39,32,6,[2.550751837049645],[3.716583129216706],[1.716583129216706],1396774.845869888
39,26,6,[2.354807369912837],[3.9139178896106994],[1.9358632837274927],783019.1157997441
39,38,6,[0.0],[0.0],[0.03790149734034316],17869737.380952597
39,7,6,[2.0],[2.0],[2.0],1089360991.6104777
39,5,6,[2.0],[2.0],[2.0],242790977.12552315
32,26,6,[2.0],[2.0],[2.0],420484003.85205525
32,38,6,[2.0],[2.0],[2.0],165001925.48689157
32,7,6,[2.0],[2.0],[2.0],1985608833.6687398
32,5,6,[3.62],[1.62],[1.62],29266502.002911408
26,38,6,[2.0],[2.0],[2.0],121481155.84351802
26,7,6,[2.0],[2.0],[2.0],1752937992.1865854
26,5,6,[2.0],[2.0],[2.0],500811946.0538842
38,7,6,[2.0],[2.0],[2.0],1232626973.673142
38,5,6,[2.0],[2.0],[2.0],285442401.2556625
7,5,6,[2.0],[2.0],[2.0],2507893309.5462995
39,33,7,[2.8724526602689195],[2.7687039110183647],[1.7948554285890894],3333596.8767623706
39,6,7,[2.0],[2.0],[2.0],1089360991.6104777
39,25,7,[2.0],[2.0],[2.0],216574184.0151803
39,45,7,[1.516787384067947],[1.516787384067947],[1.516787384067947],95935437.87283632
33,6,7,[0.0],[0.0],[0.0],1000.0
33,25,7,[1.8767076918212788],[1.8767076918212788],[2.0744576579020264],3747449.7284283265
33,45,7,[2.0],[2.0],[2.0],309076677.34024507
6,25,7,[2.0],[2.0],[2.0],1538615442.985012
6,45,7,[2.0],[2.0],[2.0],1075876927.2661264
25,45,7,[1.9254369975768957],[2.6710670218079384],[1.9254369975768957],50404341.03694761
46,9,8,[2.0],[2.0],[2.0],5947297147.00235
46,33,8,[2.0],[2.0],[2.0],734789704.4119823
46,27,8,[2.0],[2.0],[2.0],631082973.8727119
46,37,8,[2.0],[2.0],[2.0],485577451.5593465
