Pt1,Pt2,Pt3,F1,F2,F3,Error
49,26,0,[2.0],[2.0],[2.0],38346234.59627184
49,48,0,[2.0],[2.0],[2.0],37137480.04052448
49,46,0,[1.9025673866543218],[1.9025673866543218],[1.9025673866543218],6714995.219700172
49,47,0,[2.0],[2.0],[2.0],151597884.11655754
49,42,0,[2.0],[2.0],[2.0],145065257.13014987
49,44,0,[1.8],[1.8],[1.8],9366407.21015618
49,19,0,[2.0],[2.0],[2.0],131290437.04756661
49,12,0,[2.0],[2.0],[2.0],140313153.01008585
49,16,0,[2.0],[2.0],[2.0],6065960.496333716
49,25,0,[1.8560823283980468],[2.4409978975343782],[1.8560823283980468],4522714.321698549
49,20,0,[2.0],[2.0],[2.0],102774732.72295524
49,28,0,[2.0],[2.0],[2.0],142572028.52638108
49,1,0,[2.0],[2.0],[2.0],29856737.90952316
49,13,0,[2.0],[2.0],[2.0],64240130.78922329
49,40,0,[2.0],[2.0],[2.0],34175443.423732065
49,27,0,[2.0],[2.0],[2.0],125218400.70014988
49,41,0,[1.9225072331998891],[1.9225072331998891],[1.9225072331998891],6320172.508952204
49,39,0,[1.946625452763417],[2.480370925129246],[1.946625452763417],5156042.398937505
49,23,0,[1.9697822092875183],[2.271960116412335],[1.9697822092875183],2192581.234074239
49,21,0,[1.9640326023234116],[2.3237065790892952],[1.9640326023234116],4671502.62028321
49,11,0,[0.00010056094400702314],[0.0007023000129865588],[9.769145265813398e-16],999.963939857976
49,38,0,[1.9713258991861211],[2.25806690732491],[1.9713258991861211],3685129.827303045
49,7,0,[2.0],[2.0],[2.0],66238597.44441392
49,37,0,[2.0],[2.0],[2.0],143297085.8083593
49,14,0,[2.0],[2.0],[2.0],38789651.58093324
49,22,0,[2.0],[2.0],[2.0],1482097.8824544253
49,9,0,[2.0],[2.0],[2.0],108538413.64369857
49,4,0,[1.901463004605754],[2.0935299747679514],[1.901463004605754],354077.4221933206
49,43,0,[1.8861099684696359],[2.550432452080907],[1.8861099684696359],5679880.420194392
49,35,0,[2.0],[2.0],[2.0],2335783.111646794
49,6,0,[2.0],[2.0],[2.0],84454384.58836295
49,36,0,[2.0],[2.0],[2.0],134849910.08338502
49,17,0,[2.0],[2.0],[2.0],8481922.698778154
49,2,0,[1.9048616307233575],[1.9048616307233575],[1.9048616307233575],6240425.815523645
49,34,0,[2.0],[2.0],[2.0],1414007.3014137663
49,32,0,[2.0],[2.0],[2.0],3346429.6460351925
49,3,0,[8.227206499956453e-13],[3.01803526052994e-12],[1.0527061278281348e-07],999.9999914119661
49,30,0,[2.0],[2.0],[2.0],4124033.89659593
49,29,0,[0.0],[0.0],[2.0971267027971032e-12],999.999999999829
49,5,0,[2.0],[2.0],[2.0],91225262.00668831
49,24,0,[2.0],[2.0],[2.0],1437556.9889400091
49,31,0,[2.0],[2.0],[2.0],2393732.5225301604
49,33,0,[2.0],[2.0],[2.0],1402609.431469908
49,10,0,[2.0],[2.0],[2.0],3429926.633597333
49,15,0,[2.0],[2.0],[2.0],2186339.799178427
49,45,0,[1.957418079092094],[2.3832372881711534],[1.957418079092094],3948181.1745663513
49,18,0,[2.0],[2.0],[2.0],2190725.8669513385
49,8,0,[2.0],[2.0],[2.0],4058205.4355920544
26,48,0,[2.0],[2.0],[2.0],20862566.94163485
26,46,0,[2.0],[2.0],[2.0],31203700.731564045
26,47,0,[1.2633796370750925],[1.2633796370750925],[1.2633796370750925],3576282.7577638365
26,42,0,[2.0],[2.0],[2.0],94754854.7163809
26,44,0,[8.779499957360318e-05],[1.1052380021439816e-08],[0.0002037109744358094],999.9923307851282
26,19,0,[2.0],[2.0],[2.0],84739146.73269647
26,12,0,[6.6983010831588805e-09],[0.00046462589254823083],[0.0],999.9622949173337
26,16,0,[2.0],[2.0],[2.0],2911446.21480052
26,25,0,[2.0],[2.0],[2.0],13155568.470234752
26,20,0,[2.0],[2.0],[2.0],64334620.302926265
26,28,0,[2.0],[2.0],[2.0],92971781.68505219
26,1,0,[2.0],[2.0],[2.0],15816806.201679973
26,13,0,[1.8345058651795707],[1.8345058651795707],[1.8345058651795707],4926535.821098577
26,40,0,[2.0],[2.0],[2.0],18504787.677407894
26,27,0,[2.0],[2.0],[2.0],80209521.71735086
26,41,0,[2.0],[2.0],[2.0],25828826.64202189
26,39,0,[2.0],[2.0],[2.0],11953357.903071536
26,23,0,[1.891074035427342],[2.0820916147634376],[1.891074035427342],1087927.428176674
26,21,0,[2.0],[2.0],[2.0],5368618.3183167
26,11,0,[0.00040145224937759356],[0.000918158625775825],[3.7472342651661834e-19],999.9749476553941
26,38,0,[2.0],[2.0],[2.0],4968229.174553328
